sample	species	genus	superkingdom	taxonReads
JK138L-1_S17	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	1
JK138L-2_S18	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	1
JK138L-3_S19	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	1
JK138L-6_S22	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	7
JoW001L-3_S3	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	1
JoW001L-5_S5	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	1
StB097L-01_S1	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	1
StB097L-02_S2	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	2
StB108L-03_S19	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	1
StB108L-05_S21	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	1
StB109L-04_S28	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	1
StB109L-05_S29	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	5
StB109L-06_S30	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	3
WJ192L-3_S30	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	1
WJ192L-4_S31	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	2
WJ192L-5_S32	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	7
WJ194L-3_S23	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	1
WJ194L-4_S24	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	5
WJ194L-5_S25	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	4
WJ194L-6_S26	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	2
WJ195L-1_S17	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	2
WJ196L-11_S11	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	5
WJ196L-12_S12	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	10
WJ196L-13_S13	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	3
WJ196L-14_S14	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	3
WJ196L-5_S5	Candidatus Synechococcus calcipolaris	Synechococcus	Bacteria	1
191011_SND405_A_L007_APMG-6-1	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	3
200313_A00902_A_L001_APMG-8-1	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
200313_A00902_A_L002_APMG-9-10	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	2
200313_A00902_A_L002_APMG-9-11	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
200313_A00902_A_L002_APMG-9-5	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
200313_A00902_A_L002_APMG-9-6	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	2
201118_A00902_B_L1-2_APMG_19_1	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	2
201118_A00902_B_L1-2_APMG_19_12	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
201118_A00902_B_L1-2_APMG_19_13	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	2
201118_A00902_B_L1-2_APMG_19_15	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
201118_A00902_B_L1-2_APMG_19_16	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	5
201118_A00902_B_L1-2_APMG_19_17	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	2
201118_A00902_B_L1-2_APMG_19_3	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	2
201118_A00902_B_L1-2_APMG_19_6	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	2
201118_A00902_B_L1-2_APMG_19_9	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	3
210810_A00902_B_L001_APMG-37-10	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
210810_A00902_B_L001_APMG-37-2	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
210810_A00902_B_L001_APMG-37-6	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
210810_A00902_B_L001_APMG-37-7	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	2
210810_A00902_B_L001_APMG-37-8	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
210810_A00902_B_L002_APMG-38-1	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
210810_A00902_B_L002_APMG-38-10	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
210810_A00902_B_L002_APMG-38-15	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	4
210810_A00902_B_L002_APMG-38-2	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
210810_A00902_B_L002_APMG-38-3	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
210810_A00902_B_L002_APMG-38-4	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
210810_A00902_B_L002_APMG-38-7	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	2
210810_A00902_B_L002_APMG-38-8	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	2
BH193L-2_S19	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
BH193L-2_S20	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
BH193L-3_S20	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
BH194L-1_S25	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
BH194L-2_S26	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
BH194L-3_S25	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
BH194L-4_S16	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
BH194L-7_S17	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
BH194L-7_S18	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	2
ELS163S8	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
IE111L-1_S1	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
IE111L-2_S2	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
IE111L-4_S1	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	3
IE111L-5_S5	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	2
IE112L-1_S9	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	3
IE112L-6_S19	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
IE112L-7_S12	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	6
IE113L-1_S13	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
IE113L-6_S6	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
IE113L-7_S7	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	2
IE114L-2_S10	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
IE114L-3_S11	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	5
JK079L-12-WDH_S12	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK079L-14-WDH_S14	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	2
JK079L-2_S2	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	4
JK079L-4_S4	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK079L-5_S5	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	2
JK079L-6-WDH_S6	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK079L-7-WDH_S7	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK080L-10_S26	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK080L-11_S27	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK080L-13_S29	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK080L-14_S30	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK080L-2_S18	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK080L-4_S20	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK080L-9_S25	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK081L-1_S1	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK081L-11_S11	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	2
JK081L-12_S12	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK081L-2_S2	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK081L-3_S3	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK081L-9_S9	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	5
JK105L-6_S21	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK109L-4_S21	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	4
JK109L-4_S22	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	4
JK109L-5_S30	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK115L-2_S24	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	2
JK136L-2_S2	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK136L-3_S3	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK136L-4_S4	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK136L-5_S5	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK136L-6_S6	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK136L-7_S7	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK137L-2_S10	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK137L-5_S13	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JK137L-6_S14	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	2
JK138L-2_S18	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	2
JK138L-3_S19	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JoW001L-1_S1	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JoW001L-2_S2	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	7
JoW001L-6_S6	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JoW002L-4_S12	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JoW002L-6_S14	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JoW003L-1_S17	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
JoW005L-1_S33	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	2
JoW005L-4_S36	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
StB097L-01_S1	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
StB097L-02_S2	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	2
StB097L-03_S3	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
StB097L-04_S4	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
StB097L-05_S5	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
StB097L-06_S6	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
StB106L-01_S9	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
StB106L-02_S10	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
StB106L-04_S12	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
StB106L-05_S13	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
StB108L-02_S18	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	3
StB108L-07_S23	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
StB109L-02_S26	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
StB109L-04_S28	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
StB109L-06_S30	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
WJ192L-3_S30	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
WJ192L-5_S32	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	2
WJ194L-3_S23	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
WJ194L-4_S24	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
WJ194L-5_S25	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
WJ195L-1_S17	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
WJ195L-5_S18	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
WJ196L-11_S11	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
WJ196L-13_S13	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
WJ196L-14_S14	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
WJ196L-6_S6	Candidatus Synechococcus spongiarum	Synechococcus	Bacteria	1
191011_SND405_A_L007_APMG-6-1	Synechococcus elongatus	Synechococcus	Bacteria	4
191011_SND405_A_L007_APMG-6-3	Synechococcus elongatus	Synechococcus	Bacteria	1
200313_A00902_A_L001_APMG-8-1	Synechococcus elongatus	Synechococcus	Bacteria	9
200313_A00902_A_L001_APMG-8-11	Synechococcus elongatus	Synechococcus	Bacteria	2
200313_A00902_A_L001_APMG-8-2	Synechococcus elongatus	Synechococcus	Bacteria	1
200313_A00902_A_L001_APMG-8-4	Synechococcus elongatus	Synechococcus	Bacteria	2
200313_A00902_A_L001_APMG-8-6	Synechococcus elongatus	Synechococcus	Bacteria	1
200313_A00902_A_L002_APMG-9-11	Synechococcus elongatus	Synechococcus	Bacteria	1
200313_A00902_A_L002_APMG-9-6	Synechococcus elongatus	Synechococcus	Bacteria	1
201118_A00902_B_L1-2_APMG_19_1	Synechococcus elongatus	Synechococcus	Bacteria	1
201118_A00902_B_L1-2_APMG_19_12	Synechococcus elongatus	Synechococcus	Bacteria	1
201118_A00902_B_L1-2_APMG_19_13	Synechococcus elongatus	Synechococcus	Bacteria	2
201118_A00902_B_L1-2_APMG_19_15	Synechococcus elongatus	Synechococcus	Bacteria	1
201118_A00902_B_L1-2_APMG_19_16	Synechococcus elongatus	Synechococcus	Bacteria	1
201118_A00902_B_L1-2_APMG_19_17	Synechococcus elongatus	Synechococcus	Bacteria	4
201118_A00902_B_L1-2_APMG_19_2	Synechococcus elongatus	Synechococcus	Bacteria	1
201118_A00902_B_L1-2_APMG_19_7	Synechococcus elongatus	Synechococcus	Bacteria	1
201118_A00902_B_L1-2_APMG_19_8	Synechococcus elongatus	Synechococcus	Bacteria	2
210810_A00902_B_L001_APMG-37-10	Synechococcus elongatus	Synechococcus	Bacteria	5
210810_A00902_B_L001_APMG-37-11	Synechococcus elongatus	Synechococcus	Bacteria	1
210810_A00902_B_L001_APMG-37-6	Synechococcus elongatus	Synechococcus	Bacteria	1
210810_A00902_B_L001_APMG-37-7	Synechococcus elongatus	Synechococcus	Bacteria	3
210810_A00902_B_L001_APMG-37-8	Synechococcus elongatus	Synechococcus	Bacteria	5
210810_A00902_B_L001_APMG-37-9	Synechococcus elongatus	Synechococcus	Bacteria	1
210810_A00902_B_L002_APMG-38-1	Synechococcus elongatus	Synechococcus	Bacteria	1
210810_A00902_B_L002_APMG-38-10	Synechococcus elongatus	Synechococcus	Bacteria	1
210810_A00902_B_L002_APMG-38-15	Synechococcus elongatus	Synechococcus	Bacteria	1
210810_A00902_B_L002_APMG-38-4	Synechococcus elongatus	Synechococcus	Bacteria	1
210810_A00902_B_L002_APMG-38-5	Synechococcus elongatus	Synechococcus	Bacteria	1
210810_A00902_B_L002_APMG-38-7	Synechococcus elongatus	Synechococcus	Bacteria	1
210810_A00902_B_L002_APMG-38-8	Synechococcus elongatus	Synechococcus	Bacteria	2
210810_A00902_B_L002_APMG-38-9	Synechococcus elongatus	Synechococcus	Bacteria	3
BH193L-2_S19	Synechococcus elongatus	Synechococcus	Bacteria	1
BH193L-2_S20	Synechococcus elongatus	Synechococcus	Bacteria	1
BH193L-3_S20	Synechococcus elongatus	Synechococcus	Bacteria	2
BH194L-1_S25	Synechococcus elongatus	Synechococcus	Bacteria	2
BH194L-2_S26	Synechococcus elongatus	Synechococcus	Bacteria	1
BH194L-4_S16	Synechococcus elongatus	Synechococcus	Bacteria	1
BH194L-4_S17	Synechococcus elongatus	Synechococcus	Bacteria	1
BH194L-7_S17	Synechococcus elongatus	Synechococcus	Bacteria	1
BH194L-7_S18	Synechococcus elongatus	Synechococcus	Bacteria	1
BH195L-1_S27	Synechococcus elongatus	Synechococcus	Bacteria	1
BH195L-2_S18	Synechococcus elongatus	Synechococcus	Bacteria	1
ELS165S9	Synechococcus elongatus	Synechococcus	Bacteria	1
IE111L-1_S1	Synechococcus elongatus	Synechococcus	Bacteria	3
IE111L-2_S2	Synechococcus elongatus	Synechococcus	Bacteria	1
IE111L-5_S5	Synechococcus elongatus	Synechococcus	Bacteria	4
IE111L-7_S7	Synechococcus elongatus	Synechococcus	Bacteria	2
IE112L-1_S9	Synechococcus elongatus	Synechococcus	Bacteria	1
IE112L-2_S10	Synechococcus elongatus	Synechococcus	Bacteria	1
IE112L-3_S11	Synechococcus elongatus	Synechococcus	Bacteria	2
IE112L-4_S17	Synechococcus elongatus	Synechococcus	Bacteria	2
IE112L-5_S18	Synechococcus elongatus	Synechococcus	Bacteria	1
IE112L-6_S19	Synechococcus elongatus	Synechococcus	Bacteria	1
IE113L-1_S13	Synechococcus elongatus	Synechococcus	Bacteria	2
IE113L-2_S14	Synechococcus elongatus	Synechococcus	Bacteria	2
IE113L-3_S3	Synechococcus elongatus	Synechococcus	Bacteria	2
IE113L-4_S4	Synechococcus elongatus	Synechococcus	Bacteria	1
IE113L-5_S5	Synechococcus elongatus	Synechococcus	Bacteria	1
IE113L-6_S6	Synechococcus elongatus	Synechococcus	Bacteria	3
IE113L-7_S7	Synechococcus elongatus	Synechococcus	Bacteria	1
IE114L-1_S9	Synechococcus elongatus	Synechococcus	Bacteria	3
IE114L-3_S11	Synechococcus elongatus	Synechococcus	Bacteria	1
JK079L-1_S1	Synechococcus elongatus	Synechococcus	Bacteria	1
JK079L-10-WDH_S10	Synechococcus elongatus	Synechococcus	Bacteria	2
JK079L-12-WDH_S12	Synechococcus elongatus	Synechococcus	Bacteria	3
JK079L-13-WDH_S13	Synechococcus elongatus	Synechococcus	Bacteria	2
JK079L-2_S2	Synechococcus elongatus	Synechococcus	Bacteria	4
JK079L-3_S3	Synechococcus elongatus	Synechococcus	Bacteria	2
JK079L-5_S5	Synechococcus elongatus	Synechococcus	Bacteria	2
JK079L-6-WDH_S6	Synechococcus elongatus	Synechococcus	Bacteria	1
JK079L-8_S8	Synechococcus elongatus	Synechococcus	Bacteria	1
JK080L-11_S27	Synechococcus elongatus	Synechococcus	Bacteria	1
JK080L-13_S29	Synechococcus elongatus	Synechococcus	Bacteria	1
JK080L-2_S18	Synechococcus elongatus	Synechococcus	Bacteria	1
JK080L-7_S23	Synechococcus elongatus	Synechococcus	Bacteria	2
JK080L-9_S25	Synechococcus elongatus	Synechococcus	Bacteria	1
JK081L-11_S11	Synechococcus elongatus	Synechococcus	Bacteria	2
JK081L-12_S12	Synechococcus elongatus	Synechococcus	Bacteria	2
JK081L-13_S13	Synechococcus elongatus	Synechococcus	Bacteria	1
JK081L-4_S4	Synechococcus elongatus	Synechococcus	Bacteria	3
JK081L-6_S6	Synechococcus elongatus	Synechococcus	Bacteria	4
JK081L-7_S7	Synechococcus elongatus	Synechococcus	Bacteria	1
JK105L-6_S21	Synechococcus elongatus	Synechococcus	Bacteria	3
JK109L-4_S21	Synechococcus elongatus	Synechococcus	Bacteria	1
JK109L-4_S22	Synechococcus elongatus	Synechococcus	Bacteria	3
JK109L-5_S30	Synechococcus elongatus	Synechococcus	Bacteria	3
JK115L-2_S24	Synechococcus elongatus	Synechococcus	Bacteria	1
JK115L-4_S23	Synechococcus elongatus	Synechococcus	Bacteria	7
JK136L-4_S4	Synechococcus elongatus	Synechococcus	Bacteria	2
JK136L-6_S6	Synechococcus elongatus	Synechococcus	Bacteria	1
JK137L-3_S11	Synechococcus elongatus	Synechococcus	Bacteria	2
JK137L-4_S12	Synechococcus elongatus	Synechococcus	Bacteria	4
JK138L-6_S22	Synechococcus elongatus	Synechococcus	Bacteria	2
JoW001L-2_S2	Synechococcus elongatus	Synechococcus	Bacteria	2
JoW001L-3_S3	Synechococcus elongatus	Synechococcus	Bacteria	1
JoW002L-4_S12	Synechococcus elongatus	Synechococcus	Bacteria	1
JoW002L-5_S13	Synechococcus elongatus	Synechococcus	Bacteria	1
JoW003L-2_S18	Synechococcus elongatus	Synechococcus	Bacteria	1
JoW003L-4_S20	Synechococcus elongatus	Synechococcus	Bacteria	1
JoW003L-5_S21	Synechococcus elongatus	Synechococcus	Bacteria	1
JoW005L-1_S33	Synechococcus elongatus	Synechococcus	Bacteria	2
JoW005L-2_S34	Synechococcus elongatus	Synechococcus	Bacteria	1
JoW005L-3_S35	Synechococcus elongatus	Synechococcus	Bacteria	1
JoW007L-2_S2	Synechococcus elongatus	Synechococcus	Bacteria	1
StB097L-02_S2	Synechococcus elongatus	Synechococcus	Bacteria	2
StB097L-03_S3	Synechococcus elongatus	Synechococcus	Bacteria	3
StB097L-04_S4	Synechococcus elongatus	Synechococcus	Bacteria	1
StB097L-06_S6	Synechococcus elongatus	Synechococcus	Bacteria	1
StB106L-01_S9	Synechococcus elongatus	Synechococcus	Bacteria	1
StB106L-02_S10	Synechococcus elongatus	Synechococcus	Bacteria	1
StB106L-04_S12	Synechococcus elongatus	Synechococcus	Bacteria	3
StB106L-05_S13	Synechococcus elongatus	Synechococcus	Bacteria	1
StB108L-01_S17	Synechococcus elongatus	Synechococcus	Bacteria	1
StB108L-02_S18	Synechococcus elongatus	Synechococcus	Bacteria	1
StB108L-03_S19	Synechococcus elongatus	Synechococcus	Bacteria	1
StB108L-05_S21	Synechococcus elongatus	Synechococcus	Bacteria	3
StB109L-05_S29	Synechococcus elongatus	Synechococcus	Bacteria	1
StB109L-06_S30	Synechococcus elongatus	Synechococcus	Bacteria	2
WJ192L-3_S30	Synechococcus elongatus	Synechococcus	Bacteria	1
WJ192L-5_S32	Synechococcus elongatus	Synechococcus	Bacteria	2
WJ194L-4_S24	Synechococcus elongatus	Synechococcus	Bacteria	3
WJ194L-6_S26	Synechococcus elongatus	Synechococcus	Bacteria	1
WJ195L-5_S18	Synechococcus elongatus	Synechococcus	Bacteria	1
WJ196L-10_S10	Synechococcus elongatus	Synechococcus	Bacteria	1
WJ196L-11_S11	Synechococcus elongatus	Synechococcus	Bacteria	3
WJ196L-12_S12	Synechococcus elongatus	Synechococcus	Bacteria	1
WJ196L-13_S13	Synechococcus elongatus	Synechococcus	Bacteria	1
WJ196L-14_S14	Synechococcus elongatus	Synechococcus	Bacteria	3
WJ196L-15_S15	Synechococcus elongatus	Synechococcus	Bacteria	1
WJ196L-4_S4	Synechococcus elongatus	Synechococcus	Bacteria	1
WJ196L-6_S6	Synechococcus elongatus	Synechococcus	Bacteria	1
200313_A00902_A_L001_APMG-8-6	Synechococcus lacustris	Synechococcus	Bacteria	1
201118_A00902_B_L1-2_APMG_19_1	Synechococcus lacustris	Synechococcus	Bacteria	2
201118_A00902_B_L1-2_APMG_19_10	Synechococcus lacustris	Synechococcus	Bacteria	2
201118_A00902_B_L1-2_APMG_19_11	Synechococcus lacustris	Synechococcus	Bacteria	1
201118_A00902_B_L1-2_APMG_19_12	Synechococcus lacustris	Synechococcus	Bacteria	8
201118_A00902_B_L1-2_APMG_19_14	Synechococcus lacustris	Synechococcus	Bacteria	1
201118_A00902_B_L1-2_APMG_19_15	Synechococcus lacustris	Synechococcus	Bacteria	1
201118_A00902_B_L1-2_APMG_19_16	Synechococcus lacustris	Synechococcus	Bacteria	1
201118_A00902_B_L1-2_APMG_19_17	Synechococcus lacustris	Synechococcus	Bacteria	2
201118_A00902_B_L1-2_APMG_19_2	Synechococcus lacustris	Synechococcus	Bacteria	10
201118_A00902_B_L1-2_APMG_19_3	Synechococcus lacustris	Synechococcus	Bacteria	3
201118_A00902_B_L1-2_APMG_19_5	Synechococcus lacustris	Synechococcus	Bacteria	4
201118_A00902_B_L1-2_APMG_19_6	Synechococcus lacustris	Synechococcus	Bacteria	1
201118_A00902_B_L1-2_APMG_19_7	Synechococcus lacustris	Synechococcus	Bacteria	3
210810_A00902_B_L001_APMG-37-1	Synechococcus lacustris	Synechococcus	Bacteria	14
210810_A00902_B_L001_APMG-37-10	Synechococcus lacustris	Synechococcus	Bacteria	7
210810_A00902_B_L001_APMG-37-11	Synechococcus lacustris	Synechococcus	Bacteria	4
210810_A00902_B_L001_APMG-37-2	Synechococcus lacustris	Synechococcus	Bacteria	18
210810_A00902_B_L001_APMG-37-3	Synechococcus lacustris	Synechococcus	Bacteria	18
210810_A00902_B_L001_APMG-37-4	Synechococcus lacustris	Synechococcus	Bacteria	12
210810_A00902_B_L001_APMG-37-6	Synechococcus lacustris	Synechococcus	Bacteria	2
210810_A00902_B_L001_APMG-37-7	Synechococcus lacustris	Synechococcus	Bacteria	7
210810_A00902_B_L001_APMG-37-8	Synechococcus lacustris	Synechococcus	Bacteria	3
210810_A00902_B_L001_APMG-37-9	Synechococcus lacustris	Synechococcus	Bacteria	5
210810_A00902_B_L002_APMG-38-1	Synechococcus lacustris	Synechococcus	Bacteria	3
210810_A00902_B_L002_APMG-38-10	Synechococcus lacustris	Synechococcus	Bacteria	15
210810_A00902_B_L002_APMG-38-15	Synechococcus lacustris	Synechococcus	Bacteria	4
210810_A00902_B_L002_APMG-38-2	Synechococcus lacustris	Synechococcus	Bacteria	4
210810_A00902_B_L002_APMG-38-3	Synechococcus lacustris	Synechococcus	Bacteria	11
210810_A00902_B_L002_APMG-38-4	Synechococcus lacustris	Synechococcus	Bacteria	13
210810_A00902_B_L002_APMG-38-5	Synechococcus lacustris	Synechococcus	Bacteria	12
210810_A00902_B_L002_APMG-38-7	Synechococcus lacustris	Synechococcus	Bacteria	7
210810_A00902_B_L002_APMG-38-8	Synechococcus lacustris	Synechococcus	Bacteria	7
210810_A00902_B_L002_APMG-38-9	Synechococcus lacustris	Synechococcus	Bacteria	15
BH193L-1_S22	Synechococcus lacustris	Synechococcus	Bacteria	8
BH193L-2_S19	Synechococcus lacustris	Synechococcus	Bacteria	10
BH193L-2_S20	Synechococcus lacustris	Synechococcus	Bacteria	8
BH193L-3_S20	Synechococcus lacustris	Synechococcus	Bacteria	29
BH193L-4_S23	Synechococcus lacustris	Synechococcus	Bacteria	11
BH193L-5_S24	Synechococcus lacustris	Synechococcus	Bacteria	11
BH194L-1_S25	Synechococcus lacustris	Synechococcus	Bacteria	2
BH194L-2_S26	Synechococcus lacustris	Synechococcus	Bacteria	2
BH194L-3_S25	Synechococcus lacustris	Synechococcus	Bacteria	3
BH194L-4_S16	Synechococcus lacustris	Synechococcus	Bacteria	10
BH194L-4_S17	Synechococcus lacustris	Synechococcus	Bacteria	3
BH194L-6_S26	Synechococcus lacustris	Synechococcus	Bacteria	5
BH194L-7_S17	Synechococcus lacustris	Synechococcus	Bacteria	7
BH194L-7_S18	Synechococcus lacustris	Synechococcus	Bacteria	6
BH195L-1_S27	Synechococcus lacustris	Synechococcus	Bacteria	9
BH195L-2_S18	Synechococcus lacustris	Synechococcus	Bacteria	9
BH195L-2_S19	Synechococcus lacustris	Synechococcus	Bacteria	4
BH195L-3_S28	Synechococcus lacustris	Synechococcus	Bacteria	8
BH195L-4_S29	Synechococcus lacustris	Synechococcus	Bacteria	5
ELS162S7	Synechococcus lacustris	Synechococcus	Bacteria	24
ELS163S8	Synechococcus lacustris	Synechococcus	Bacteria	17
