sample	family	superkingdom	taxonReads
WJ196L-13_S13	Paracoccaceae	Bacteria	393
WJ196L-14_S14	Paracoccaceae	Bacteria	500
WJ196L-15_S15	Paracoccaceae	Bacteria	388
WJ196L-2_S2	Paracoccaceae	Bacteria	4
WJ196L-3_S3	Paracoccaceae	Bacteria	4
WJ196L-4_S4	Paracoccaceae	Bacteria	210
WJ196L-5_S5	Paracoccaceae	Bacteria	220
WJ196L-6_S6	Paracoccaceae	Bacteria	571
WJ196L-7_S7	Paracoccaceae	Bacteria	384
WJ196L-8_S8	Paracoccaceae	Bacteria	370
WJ196L-9_S9	Paracoccaceae	Bacteria	516
191011_SND405_A_L007_APMG-6-1	Pseudomonadaceae	Bacteria	883
191011_SND405_A_L007_APMG-6-2	Pseudomonadaceae	Bacteria	554
191011_SND405_A_L007_APMG-6-3	Pseudomonadaceae	Bacteria	260
191011_SND405_A_L007_APMG-6-4	Pseudomonadaceae	Bacteria	308
191011_SND405_A_L007_APMG-6-5	Pseudomonadaceae	Bacteria	87
191011_SND405_A_L007_APMG-6-6	Pseudomonadaceae	Bacteria	542
191011_SND405_A_L007_APMG-6-7	Pseudomonadaceae	Bacteria	2
191011_SND405_A_L007_APMG-6-8	Pseudomonadaceae	Bacteria	2
200313_A00902_A_L001_APMG-8-1	Pseudomonadaceae	Bacteria	10575
200313_A00902_A_L001_APMG-8-10	Pseudomonadaceae	Bacteria	2306
200313_A00902_A_L001_APMG-8-11	Pseudomonadaceae	Bacteria	398
200313_A00902_A_L001_APMG-8-12	Pseudomonadaceae	Bacteria	737
200313_A00902_A_L001_APMG-8-2	Pseudomonadaceae	Bacteria	468
200313_A00902_A_L001_APMG-8-3	Pseudomonadaceae	Bacteria	578
200313_A00902_A_L001_APMG-8-4	Pseudomonadaceae	Bacteria	421
200313_A00902_A_L001_APMG-8-5	Pseudomonadaceae	Bacteria	353
200313_A00902_A_L001_APMG-8-6	Pseudomonadaceae	Bacteria	656
200313_A00902_A_L001_APMG-8-7	Pseudomonadaceae	Bacteria	6
200313_A00902_A_L001_APMG-8-8	Pseudomonadaceae	Bacteria	366
200313_A00902_A_L001_APMG-8-9	Pseudomonadaceae	Bacteria	708
200313_A00902_A_L002_APMG-9-1	Pseudomonadaceae	Bacteria	572
200313_A00902_A_L002_APMG-9-10	Pseudomonadaceae	Bacteria	1817
200313_A00902_A_L002_APMG-9-11	Pseudomonadaceae	Bacteria	762
200313_A00902_A_L002_APMG-9-12	Pseudomonadaceae	Bacteria	1
200313_A00902_A_L002_APMG-9-13	Pseudomonadaceae	Bacteria	2
200313_A00902_A_L002_APMG-9-2	Pseudomonadaceae	Bacteria	701
200313_A00902_A_L002_APMG-9-3	Pseudomonadaceae	Bacteria	845
200313_A00902_A_L002_APMG-9-4	Pseudomonadaceae	Bacteria	1
200313_A00902_A_L002_APMG-9-5	Pseudomonadaceae	Bacteria	434
200313_A00902_A_L002_APMG-9-6	Pseudomonadaceae	Bacteria	1060
200313_A00902_A_L002_APMG-9-7	Pseudomonadaceae	Bacteria	1346
200313_A00902_A_L002_APMG-9-8	Pseudomonadaceae	Bacteria	751
200313_A00902_A_L002_APMG-9-9	Pseudomonadaceae	Bacteria	1636
201118_A00902_B_L1-2_APMG_19_1	Pseudomonadaceae	Bacteria	27594
201118_A00902_B_L1-2_APMG_19_10	Pseudomonadaceae	Bacteria	7202
201118_A00902_B_L1-2_APMG_19_11	Pseudomonadaceae	Bacteria	4669
201118_A00902_B_L1-2_APMG_19_12	Pseudomonadaceae	Bacteria	3456
201118_A00902_B_L1-2_APMG_19_13	Pseudomonadaceae	Bacteria	5805
201118_A00902_B_L1-2_APMG_19_14	Pseudomonadaceae	Bacteria	2337
201118_A00902_B_L1-2_APMG_19_15	Pseudomonadaceae	Bacteria	1130506
201118_A00902_B_L1-2_APMG_19_16	Pseudomonadaceae	Bacteria	579491
201118_A00902_B_L1-2_APMG_19_17	Pseudomonadaceae	Bacteria	14985
201118_A00902_B_L1-2_APMG_19_18	Pseudomonadaceae	Bacteria	200
201118_A00902_B_L1-2_APMG_19_19	Pseudomonadaceae	Bacteria	84
201118_A00902_B_L1-2_APMG_19_2	Pseudomonadaceae	Bacteria	2316
201118_A00902_B_L1-2_APMG_19_20	Pseudomonadaceae	Bacteria	155
201118_A00902_B_L1-2_APMG_19_21	Pseudomonadaceae	Bacteria	89
201118_A00902_B_L1-2_APMG_19_22	Pseudomonadaceae	Bacteria	43
201118_A00902_B_L1-2_APMG_19_3	Pseudomonadaceae	Bacteria	4622
201118_A00902_B_L1-2_APMG_19_4	Pseudomonadaceae	Bacteria	553
201118_A00902_B_L1-2_APMG_19_5	Pseudomonadaceae	Bacteria	11223
201118_A00902_B_L1-2_APMG_19_6	Pseudomonadaceae	Bacteria	2340
201118_A00902_B_L1-2_APMG_19_7	Pseudomonadaceae	Bacteria	761
201118_A00902_B_L1-2_APMG_19_8	Pseudomonadaceae	Bacteria	4176
201118_A00902_B_L1-2_APMG_19_9	Pseudomonadaceae	Bacteria	1976
210810_A00902_B_L001_APMG-37-1	Pseudomonadaceae	Bacteria	1361
210810_A00902_B_L001_APMG-37-10	Pseudomonadaceae	Bacteria	15823
210810_A00902_B_L001_APMG-37-11	Pseudomonadaceae	Bacteria	2422
210810_A00902_B_L001_APMG-37-12	Pseudomonadaceae	Bacteria	119
210810_A00902_B_L001_APMG-37-13	Pseudomonadaceae	Bacteria	255
210810_A00902_B_L001_APMG-37-14	Pseudomonadaceae	Bacteria	18
210810_A00902_B_L001_APMG-37-15	Pseudomonadaceae	Bacteria	83
210810_A00902_B_L001_APMG-37-2	Pseudomonadaceae	Bacteria	1256
210810_A00902_B_L001_APMG-37-3	Pseudomonadaceae	Bacteria	957
210810_A00902_B_L001_APMG-37-4	Pseudomonadaceae	Bacteria	2104
210810_A00902_B_L001_APMG-37-5	Pseudomonadaceae	Bacteria	28
210810_A00902_B_L001_APMG-37-6	Pseudomonadaceae	Bacteria	169223
210810_A00902_B_L001_APMG-37-7	Pseudomonadaceae	Bacteria	85052
210810_A00902_B_L001_APMG-37-8	Pseudomonadaceae	Bacteria	2280
210810_A00902_B_L001_APMG-37-9	Pseudomonadaceae	Bacteria	2272
210810_A00902_B_L002_APMG-38-1	Pseudomonadaceae	Bacteria	1154
210810_A00902_B_L002_APMG-38-10	Pseudomonadaceae	Bacteria	4038
210810_A00902_B_L002_APMG-38-11	Pseudomonadaceae	Bacteria	132
210810_A00902_B_L002_APMG-38-12	Pseudomonadaceae	Bacteria	284
210810_A00902_B_L002_APMG-38-13	Pseudomonadaceae	Bacteria	91
210810_A00902_B_L002_APMG-38-14	Pseudomonadaceae	Bacteria	132
210810_A00902_B_L002_APMG-38-15	Pseudomonadaceae	Bacteria	724
210810_A00902_B_L002_APMG-38-2	Pseudomonadaceae	Bacteria	1572
210810_A00902_B_L002_APMG-38-3	Pseudomonadaceae	Bacteria	1465
210810_A00902_B_L002_APMG-38-4	Pseudomonadaceae	Bacteria	2523
210810_A00902_B_L002_APMG-38-5	Pseudomonadaceae	Bacteria	23322
210810_A00902_B_L002_APMG-38-6	Pseudomonadaceae	Bacteria	54
210810_A00902_B_L002_APMG-38-7	Pseudomonadaceae	Bacteria	2832
210810_A00902_B_L002_APMG-38-8	Pseudomonadaceae	Bacteria	3271
210810_A00902_B_L002_APMG-38-9	Pseudomonadaceae	Bacteria	3367
BH193L-1_S22	Pseudomonadaceae	Bacteria	1038
BH193L-2_S19	Pseudomonadaceae	Bacteria	16917
BH193L-2_S20	Pseudomonadaceae	Bacteria	11509
BH193L-3_S20	Pseudomonadaceae	Bacteria	1256
BH193L-4_S23	Pseudomonadaceae	Bacteria	770
BH193L-5_S24	Pseudomonadaceae	Bacteria	556
BH194L-1_S25	Pseudomonadaceae	Bacteria	5544
BH194L-2_S26	Pseudomonadaceae	Bacteria	3067
BH194L-3_S25	Pseudomonadaceae	Bacteria	920
BH194L-4_S16	Pseudomonadaceae	Bacteria	1980
BH194L-4_S17	Pseudomonadaceae	Bacteria	1304
BH194L-6_S26	Pseudomonadaceae	Bacteria	1317
BH194L-7_S17	Pseudomonadaceae	Bacteria	1341
BH194L-7_S18	Pseudomonadaceae	Bacteria	925
BH195L-1_S27	Pseudomonadaceae	Bacteria	1250
BH195L-2_S18	Pseudomonadaceae	Bacteria	2868
BH195L-2_S19	Pseudomonadaceae	Bacteria	1767
BH195L-3_S28	Pseudomonadaceae	Bacteria	2159
BH195L-4_S29	Pseudomonadaceae	Bacteria	17240
BH195L-7_S31	Pseudomonadaceae	Bacteria	24
EBS12	Pseudomonadaceae	Bacteria	13
ELS162S7	Pseudomonadaceae	Bacteria	2467
ELS163S8	Pseudomonadaceae	Bacteria	2623
ELS165S9	Pseudomonadaceae	Bacteria	643923
ELS167S10	Pseudomonadaceae	Bacteria	5346
ELS170S11	Pseudomonadaceae	Bacteria	307
IE111L-1_S1	Pseudomonadaceae	Bacteria	21445
IE111L-2_S2	Pseudomonadaceae	Bacteria	2999
IE111L-3_S3	Pseudomonadaceae	Bacteria	4176
IE111L-4_S1	Pseudomonadaceae	Bacteria	8051
IE111L-5_S5	Pseudomonadaceae	Bacteria	20883
IE111L-6_S6	Pseudomonadaceae	Bacteria	401935
IE111L-7_S7	Pseudomonadaceae	Bacteria	810995
IE111L-8_S8	Pseudomonadaceae	Bacteria	1
IE112L-1_S9	Pseudomonadaceae	Bacteria	158215
IE112L-2_S10	Pseudomonadaceae	Bacteria	2356
IE112L-3_S11	Pseudomonadaceae	Bacteria	2486
IE112L-4_S17	Pseudomonadaceae	Bacteria	2296
IE112L-5_S18	Pseudomonadaceae	Bacteria	511544
IE112L-6_S19	Pseudomonadaceae	Bacteria	3253
IE112L-7_S12	Pseudomonadaceae	Bacteria	109537
IE112L-8_S15	Pseudomonadaceae	Bacteria	2
IE113L-1_S13	Pseudomonadaceae	Bacteria	3534
IE113L-2_S14	Pseudomonadaceae	Bacteria	5447
IE113L-3_S3	Pseudomonadaceae	Bacteria	4105
IE113L-4_S4	Pseudomonadaceae	Bacteria	4163
IE113L-5_S5	Pseudomonadaceae	Bacteria	32521
IE113L-6_S6	Pseudomonadaceae	Bacteria	5215
IE113L-7_S7	Pseudomonadaceae	Bacteria	17176
IE114L-1_S9	Pseudomonadaceae	Bacteria	4092
IE114L-2_S10	Pseudomonadaceae	Bacteria	4762
IE114L-3_S11	Pseudomonadaceae	Bacteria	4571
IE114L-4_S4	Pseudomonadaceae	Bacteria	6
IE114L-5_S2	Pseudomonadaceae	Bacteria	1
IE114L-6_S16	Pseudomonadaceae	Bacteria	5
IE114L-7_S17	Pseudomonadaceae	Bacteria	7
IE114L-8_S20	Pseudomonadaceae	Bacteria	5
IE115L-3_S19	Pseudomonadaceae	Bacteria	3
JK079L-1_S1	Pseudomonadaceae	Bacteria	79511
JK079L-10-WDH_S10	Pseudomonadaceae	Bacteria	124052
JK079L-11-WDH_S11	Pseudomonadaceae	Bacteria	537118
JK079L-12-WDH_S12	Pseudomonadaceae	Bacteria	278282
JK079L-13-WDH_S13	Pseudomonadaceae	Bacteria	182973
JK079L-14-WDH_S14	Pseudomonadaceae	Bacteria	102832
JK079L-15_S15	Pseudomonadaceae	Bacteria	5
JK079L-16_S16	Pseudomonadaceae	Bacteria	2
JK079L-2_S2	Pseudomonadaceae	Bacteria	48096
JK079L-3_S3	Pseudomonadaceae	Bacteria	41886
JK079L-4_S4	Pseudomonadaceae	Bacteria	2088
JK079L-5_S5	Pseudomonadaceae	Bacteria	25703
JK079L-6-WDH_S6	Pseudomonadaceae	Bacteria	34155
JK079L-7-WDH_S7	Pseudomonadaceae	Bacteria	2644
JK079L-8_S8	Pseudomonadaceae	Bacteria	29361
JK079L-9_S9	Pseudomonadaceae	Bacteria	11117
JK080L-1_S17	Pseudomonadaceae	Bacteria	52990
JK080L-10_S26	Pseudomonadaceae	Bacteria	52847
JK080L-11_S27	Pseudomonadaceae	Bacteria	6213
JK080L-12_S28	Pseudomonadaceae	Bacteria	2183
JK080L-13_S29	Pseudomonadaceae	Bacteria	8109
JK080L-14_S30	Pseudomonadaceae	Bacteria	2370
JK080L-16_S32	Pseudomonadaceae	Bacteria	1
JK080L-2_S18	Pseudomonadaceae	Bacteria	163429
JK080L-3_S19	Pseudomonadaceae	Bacteria	2762230
JK080L-4_S20	Pseudomonadaceae	Bacteria	253032
JK080L-6_S22	Pseudomonadaceae	Bacteria	44737
JK080L-7_S23	Pseudomonadaceae	Bacteria	1267
JK080L-8_S24	Pseudomonadaceae	Bacteria	123324
JK080L-9_S25	Pseudomonadaceae	Bacteria	22346
JK081L-1_S1	Pseudomonadaceae	Bacteria	3752
JK081L-10_S10	Pseudomonadaceae	Bacteria	3
JK081L-11_S11	Pseudomonadaceae	Bacteria	1679
JK081L-12_S12	Pseudomonadaceae	Bacteria	74101
JK081L-13_S13	Pseudomonadaceae	Bacteria	1679
JK081L-14_S14	Pseudomonadaceae	Bacteria	2
JK081L-15_S15	Pseudomonadaceae	Bacteria	5
JK081L-2_S2	Pseudomonadaceae	Bacteria	250522
JK081L-3_S3	Pseudomonadaceae	Bacteria	681
JK081L-4_S4	Pseudomonadaceae	Bacteria	2432
JK081L-6_S6	Pseudomonadaceae	Bacteria	2819
JK081L-7_S7	Pseudomonadaceae	Bacteria	4220
JK081L-8_S8	Pseudomonadaceae	Bacteria	42940
JK081L-9_S9	Pseudomonadaceae	Bacteria	1746
JK105L-6_S21	Pseudomonadaceae	Bacteria	5511
JK109L-4_S21	Pseudomonadaceae	Bacteria	1025
JK109L-4_S22	Pseudomonadaceae	Bacteria	1818
JK109L-5_S30	Pseudomonadaceae	Bacteria	1524
JK109L-6_S31	Pseudomonadaceae	Bacteria	2066
JK109L-8_S33	Pseudomonadaceae	Bacteria	15
JK115L-2_S24	Pseudomonadaceae	Bacteria	5222
JK115L-4_S23	Pseudomonadaceae	Bacteria	3512
JK115L-5_S27	Pseudomonadaceae	Bacteria	16
JK115L-8_S34	Pseudomonadaceae	Bacteria	4
JK136L-2_S2	Pseudomonadaceae	Bacteria	2035
JK136L-3_S3	Pseudomonadaceae	Bacteria	3746
JK136L-4_S4	Pseudomonadaceae	Bacteria	9056
JK136L-5_S5	Pseudomonadaceae	Bacteria	6165
JK136L-6_S6	Pseudomonadaceae	Bacteria	1623
JK136L-7_S7	Pseudomonadaceae	Bacteria	608220
JK137L-1_S9	Pseudomonadaceae	Bacteria	839906
JK137L-2_S10	Pseudomonadaceae	Bacteria	60563
JK137L-3_S11	Pseudomonadaceae	Bacteria	425230
JK137L-4_S12	Pseudomonadaceae	Bacteria	3196622
JK137L-5_S13	Pseudomonadaceae	Bacteria	609946
JK137L-6_S14	Pseudomonadaceae	Bacteria	4240792
JK137L-7_S15	Pseudomonadaceae	Bacteria	1862651
JK138L-1_S17	Pseudomonadaceae	Bacteria	3938478
JK138L-2_S18	Pseudomonadaceae	Bacteria	2345381
JK138L-3_S19	Pseudomonadaceae	Bacteria	714045
JK138L-4_S20	Pseudomonadaceae	Bacteria	1586679
JK138L-6_S22	Pseudomonadaceae	Bacteria	2034502
JK138L-7_S23	Pseudomonadaceae	Bacteria	1184016
JK138L-8_S24	Pseudomonadaceae	Bacteria	1
JoW001L-1_S1	Pseudomonadaceae	Bacteria	22612
JoW001L-2_S2	Pseudomonadaceae	Bacteria	23846
JoW001L-3_S3	Pseudomonadaceae	Bacteria	62969
JoW001L-4_S4	Pseudomonadaceae	Bacteria	89168
JoW001L-5_S5	Pseudomonadaceae	Bacteria	199038
JoW001L-6_S6	Pseudomonadaceae	Bacteria	4745
JoW002L-1_S9	Pseudomonadaceae	Bacteria	333330
JoW002L-2_S10	Pseudomonadaceae	Bacteria	52730
JoW002L-3_S11	Pseudomonadaceae	Bacteria	20
JoW002L-4_S12	Pseudomonadaceae	Bacteria	1375
JoW002L-5_S13	Pseudomonadaceae	Bacteria	41692
JoW002L-6_S14	Pseudomonadaceae	Bacteria	1458
JoW002L-7_S15	Pseudomonadaceae	Bacteria	4
JoW002L-8_S16	Pseudomonadaceae	Bacteria	2
JoW003L-1_S17	Pseudomonadaceae	Bacteria	154204
JoW003L-2_S18	Pseudomonadaceae	Bacteria	3403
JoW003L-3_S19	Pseudomonadaceae	Bacteria	3236
JoW003L-4_S20	Pseudomonadaceae	Bacteria	871
JoW003L-5_S21	Pseudomonadaceae	Bacteria	3963
JoW003L-6_S22	Pseudomonadaceae	Bacteria	675
JoW003L-8_S24	Pseudomonadaceae	Bacteria	1
JoW004L-1_S25	Pseudomonadaceae	Bacteria	357
JoW004L-2_S26	Pseudomonadaceae	Bacteria	553
JoW004L-3_S27	Pseudomonadaceae	Bacteria	246
JoW004L-4_S28	Pseudomonadaceae	Bacteria	211
JoW004L-5_S29	Pseudomonadaceae	Bacteria	82
JoW004L-6_S30	Pseudomonadaceae	Bacteria	184
JoW004L-8_S32	Pseudomonadaceae	Bacteria	2
JoW005L-1_S33	Pseudomonadaceae	Bacteria	26424
JoW005L-2_S34	Pseudomonadaceae	Bacteria	909138
JoW005L-3_S35	Pseudomonadaceae	Bacteria	3333
JoW005L-4_S36	Pseudomonadaceae	Bacteria	2053
JoW005L-5_S37	Pseudomonadaceae	Bacteria	11
JoW007L-1_S1	Pseudomonadaceae	Bacteria	162
JoW007L-2_S2	Pseudomonadaceae	Bacteria	405
JoW007L-3_S3	Pseudomonadaceae	Bacteria	287
JoW007L-4_S4	Pseudomonadaceae	Bacteria	720
JoW007L-5_S5	Pseudomonadaceae	Bacteria	49870
JoW007L-6_S6	Pseudomonadaceae	Bacteria	68333
StB097L-01_S1	Pseudomonadaceae	Bacteria	53640
StB097L-02_S2	Pseudomonadaceae	Bacteria	6237
StB097L-03_S3	Pseudomonadaceae	Bacteria	9467
StB097L-04_S4	Pseudomonadaceae	Bacteria	1349
StB097L-05_S5	Pseudomonadaceae	Bacteria	2219
StB097L-06_S6	Pseudomonadaceae	Bacteria	1607
StB097L-07_S7	Pseudomonadaceae	Bacteria	356
StB097L-08_S8	Pseudomonadaceae	Bacteria	50
StB106L-01_S9	Pseudomonadaceae	Bacteria	919
StB106L-02_S10	Pseudomonadaceae	Bacteria	1204
StB106L-04_S12	Pseudomonadaceae	Bacteria	2141
StB106L-05_S13	Pseudomonadaceae	Bacteria	3104
StB106L-06_S14	Pseudomonadaceae	Bacteria	58
StB106L-08_S16	Pseudomonadaceae	Bacteria	90
StB108L-01_S17	Pseudomonadaceae	Bacteria	2576
StB108L-02_S18	Pseudomonadaceae	Bacteria	99674
StB108L-03_S19	Pseudomonadaceae	Bacteria	653495
StB108L-04_S20	Pseudomonadaceae	Bacteria	35
StB108L-05_S21	Pseudomonadaceae	Bacteria	57145
StB108L-06_S22	Pseudomonadaceae	Bacteria	68
StB108L-07_S23	Pseudomonadaceae	Bacteria	1075853
StB108L-08_S24	Pseudomonadaceae	Bacteria	43
StB109L-01_S25	Pseudomonadaceae	Bacteria	1124854
StB109L-02_S26	Pseudomonadaceae	Bacteria	4318221
StB109L-03_S27	Pseudomonadaceae	Bacteria	61
StB109L-04_S28	Pseudomonadaceae	Bacteria	1338457
StB109L-05_S29	Pseudomonadaceae	Bacteria	3058572
StB109L-06_S30	Pseudomonadaceae	Bacteria	1027602
StB109L-07_S31	Pseudomonadaceae	Bacteria	201
StB109L-08_S32	Pseudomonadaceae	Bacteria	173
WJ192L-1_S29	Pseudomonadaceae	Bacteria	1245
WJ192L-3_S30	Pseudomonadaceae	Bacteria	803
WJ192L-4_S31	Pseudomonadaceae	Bacteria	755
WJ192L-5_S32	Pseudomonadaceae	Bacteria	1767
WJ192L-6_S33	Pseudomonadaceae	Bacteria	3
WJ192L-7_S34	Pseudomonadaceae	Bacteria	8
WJ194L-2_S22	Pseudomonadaceae	Bacteria	425
WJ194L-3_S23	Pseudomonadaceae	Bacteria	647
WJ194L-4_S24	Pseudomonadaceae	Bacteria	719
WJ194L-5_S25	Pseudomonadaceae	Bacteria	762
WJ194L-6_S26	Pseudomonadaceae	Bacteria	852
WJ194L-7_S27	Pseudomonadaceae	Bacteria	17
WJ194L-8_S28	Pseudomonadaceae	Bacteria	2
WJ195L-1_S17	Pseudomonadaceae	Bacteria	1325
WJ195L-5_S18	Pseudomonadaceae	Bacteria	318
WJ195L-7_S19	Pseudomonadaceae	Bacteria	4
WJ196L-1_S1	Pseudomonadaceae	Bacteria	4
WJ196L-10_S10	Pseudomonadaceae	Bacteria	312
WJ196L-11_S11	Pseudomonadaceae	Bacteria	1733
WJ196L-12_S12	Pseudomonadaceae	Bacteria	1312
WJ196L-13_S13	Pseudomonadaceae	Bacteria	1328
WJ196L-14_S14	Pseudomonadaceae	Bacteria	1286
WJ196L-15_S15	Pseudomonadaceae	Bacteria	928
WJ196L-16_S16	Pseudomonadaceae	Bacteria	3
WJ196L-2_S2	Pseudomonadaceae	Bacteria	1
WJ196L-3_S3	Pseudomonadaceae	Bacteria	8
WJ196L-4_S4	Pseudomonadaceae	Bacteria	186
WJ196L-5_S5	Pseudomonadaceae	Bacteria	140
WJ196L-6_S6	Pseudomonadaceae	Bacteria	273
WJ196L-7_S7	Pseudomonadaceae	Bacteria	270
WJ196L-8_S8	Pseudomonadaceae	Bacteria	307
WJ196L-9_S9	Pseudomonadaceae	Bacteria	400
191011_SND405_A_L007_APMG-6-1	Sphingomonadaceae	Bacteria	691
191011_SND405_A_L007_APMG-6-2	Sphingomonadaceae	Bacteria	331
191011_SND405_A_L007_APMG-6-3	Sphingomonadaceae	Bacteria	1076
191011_SND405_A_L007_APMG-6-4	Sphingomonadaceae	Bacteria	1474
191011_SND405_A_L007_APMG-6-5	Sphingomonadaceae	Bacteria	646
191011_SND405_A_L007_APMG-6-6	Sphingomonadaceae	Bacteria	916
191011_SND405_A_L007_APMG-6-7	Sphingomonadaceae	Bacteria	119
191011_SND405_A_L007_APMG-6-8	Sphingomonadaceae	Bacteria	155
200313_A00902_A_L001_APMG-8-1	Sphingomonadaceae	Bacteria	706
200313_A00902_A_L001_APMG-8-10	Sphingomonadaceae	Bacteria	1226
200313_A00902_A_L001_APMG-8-11	Sphingomonadaceae	Bacteria	921
200313_A00902_A_L001_APMG-8-12	Sphingomonadaceae	Bacteria	1654
200313_A00902_A_L001_APMG-8-2	Sphingomonadaceae	Bacteria	531
200313_A00902_A_L001_APMG-8-3	Sphingomonadaceae	Bacteria	1072
200313_A00902_A_L001_APMG-8-4	Sphingomonadaceae	Bacteria	1879
200313_A00902_A_L001_APMG-8-5	Sphingomonadaceae	Bacteria	1185
200313_A00902_A_L001_APMG-8-6	Sphingomonadaceae	Bacteria	631
200313_A00902_A_L001_APMG-8-7	Sphingomonadaceae	Bacteria	86
200313_A00902_A_L001_APMG-8-8	Sphingomonadaceae	Bacteria	2618
200313_A00902_A_L001_APMG-8-9	Sphingomonadaceae	Bacteria	221
200313_A00902_A_L002_APMG-9-1	Sphingomonadaceae	Bacteria	571
200313_A00902_A_L002_APMG-9-10	Sphingomonadaceae	Bacteria	1672
200313_A00902_A_L002_APMG-9-11	Sphingomonadaceae	Bacteria	1157
200313_A00902_A_L002_APMG-9-12	Sphingomonadaceae	Bacteria	136
200313_A00902_A_L002_APMG-9-13	Sphingomonadaceae	Bacteria	109
200313_A00902_A_L002_APMG-9-2	Sphingomonadaceae	Bacteria	503
200313_A00902_A_L002_APMG-9-3	Sphingomonadaceae	Bacteria	355
200313_A00902_A_L002_APMG-9-4	Sphingomonadaceae	Bacteria	127
200313_A00902_A_L002_APMG-9-5	Sphingomonadaceae	Bacteria	939
200313_A00902_A_L002_APMG-9-6	Sphingomonadaceae	Bacteria	1479
200313_A00902_A_L002_APMG-9-7	Sphingomonadaceae	Bacteria	1630
200313_A00902_A_L002_APMG-9-8	Sphingomonadaceae	Bacteria	1489
200313_A00902_A_L002_APMG-9-9	Sphingomonadaceae	Bacteria	1413
201118_A00902_B_L1-2_APMG_19_1	Sphingomonadaceae	Bacteria	1232
201118_A00902_B_L1-2_APMG_19_10	Sphingomonadaceae	Bacteria	934
201118_A00902_B_L1-2_APMG_19_11	Sphingomonadaceae	Bacteria	913
201118_A00902_B_L1-2_APMG_19_12	Sphingomonadaceae	Bacteria	3228
201118_A00902_B_L1-2_APMG_19_13	Sphingomonadaceae	Bacteria	6429
201118_A00902_B_L1-2_APMG_19_14	Sphingomonadaceae	Bacteria	2772
201118_A00902_B_L1-2_APMG_19_15	Sphingomonadaceae	Bacteria	46122
201118_A00902_B_L1-2_APMG_19_16	Sphingomonadaceae	Bacteria	69231
201118_A00902_B_L1-2_APMG_19_17	Sphingomonadaceae	Bacteria	11823
201118_A00902_B_L1-2_APMG_19_18	Sphingomonadaceae	Bacteria	41
201118_A00902_B_L1-2_APMG_19_19	Sphingomonadaceae	Bacteria	6
201118_A00902_B_L1-2_APMG_19_2	Sphingomonadaceae	Bacteria	1489
201118_A00902_B_L1-2_APMG_19_20	Sphingomonadaceae	Bacteria	17
201118_A00902_B_L1-2_APMG_19_21	Sphingomonadaceae	Bacteria	122
201118_A00902_B_L1-2_APMG_19_22	Sphingomonadaceae	Bacteria	6
201118_A00902_B_L1-2_APMG_19_3	Sphingomonadaceae	Bacteria	1144
201118_A00902_B_L1-2_APMG_19_4	Sphingomonadaceae	Bacteria	68
201118_A00902_B_L1-2_APMG_19_5	Sphingomonadaceae	Bacteria	1042
201118_A00902_B_L1-2_APMG_19_6	Sphingomonadaceae	Bacteria	1583
201118_A00902_B_L1-2_APMG_19_7	Sphingomonadaceae	Bacteria	1722
201118_A00902_B_L1-2_APMG_19_8	Sphingomonadaceae	Bacteria	1087
201118_A00902_B_L1-2_APMG_19_9	Sphingomonadaceae	Bacteria	1637
210810_A00902_B_L001_APMG-37-1	Sphingomonadaceae	Bacteria	1698
210810_A00902_B_L001_APMG-37-10	Sphingomonadaceae	Bacteria	5009
210810_A00902_B_L001_APMG-37-11	Sphingomonadaceae	Bacteria	24503
210810_A00902_B_L001_APMG-37-12	Sphingomonadaceae	Bacteria	2
210810_A00902_B_L001_APMG-37-13	Sphingomonadaceae	Bacteria	1
210810_A00902_B_L001_APMG-37-15	Sphingomonadaceae	Bacteria	238
210810_A00902_B_L001_APMG-37-2	Sphingomonadaceae	Bacteria	1204
210810_A00902_B_L001_APMG-37-3	Sphingomonadaceae	Bacteria	908
210810_A00902_B_L001_APMG-37-4	Sphingomonadaceae	Bacteria	3446
210810_A00902_B_L001_APMG-37-5	Sphingomonadaceae	Bacteria	4
210810_A00902_B_L001_APMG-37-6	Sphingomonadaceae	Bacteria	10362
210810_A00902_B_L001_APMG-37-7	Sphingomonadaceae	Bacteria	9728
210810_A00902_B_L001_APMG-37-8	Sphingomonadaceae	Bacteria	12061
210810_A00902_B_L001_APMG-37-9	Sphingomonadaceae	Bacteria	10218
210810_A00902_B_L002_APMG-38-1	Sphingomonadaceae	Bacteria	849
210810_A00902_B_L002_APMG-38-10	Sphingomonadaceae	Bacteria	1409
210810_A00902_B_L002_APMG-38-11	Sphingomonadaceae	Bacteria	32
210810_A00902_B_L002_APMG-38-12	Sphingomonadaceae	Bacteria	6
210810_A00902_B_L002_APMG-38-13	Sphingomonadaceae	Bacteria	4
210810_A00902_B_L002_APMG-38-14	Sphingomonadaceae	Bacteria	36
210810_A00902_B_L002_APMG-38-15	Sphingomonadaceae	Bacteria	10543
210810_A00902_B_L002_APMG-38-2	Sphingomonadaceae	Bacteria	706
210810_A00902_B_L002_APMG-38-3	Sphingomonadaceae	Bacteria	888
210810_A00902_B_L002_APMG-38-4	Sphingomonadaceae	Bacteria	845
210810_A00902_B_L002_APMG-38-5	Sphingomonadaceae	Bacteria	1101
210810_A00902_B_L002_APMG-38-6	Sphingomonadaceae	Bacteria	103
