genus	class	phylum
Methylopila	Alphaproteobacteria	Pseudomonadota
Tepidimonas	Betaproteobacteria	Pseudomonadota
Altererythrobacter	Alphaproteobacteria	Pseudomonadota
Lysobacter	Gammaproteobacteria	Pseudomonadota
Segeticoccus	Actinomycetes	Actinomycetota
Agriterribacter	Chitinophagia	Bacteroidota
Mycobacterium	Actinomycetes	Actinomycetota
Kribbella	Actinomycetes	Actinomycetota
Paenirhodobacter	Alphaproteobacteria	Pseudomonadota
Mycolicibacterium	Actinomycetes	Actinomycetota
Leifsonia	Actinomycetes	Actinomycetota
Agreia	Actinomycetes	Actinomycetota
Brenneria	Gammaproteobacteria	Pseudomonadota
Verminephrobacter	Betaproteobacteria	Pseudomonadota
Tistrella	Alphaproteobacteria	Pseudomonadota
Porphyromonas	Bacteroidia	Bacteroidota
Herminiimonas	Betaproteobacteria	Pseudomonadota
Flavobacterium	Flavobacteriia	Bacteroidota
Massilia	Betaproteobacteria	Pseudomonadota
Sedimenticola	Gammaproteobacteria	Pseudomonadota
Methylophilus	Betaproteobacteria	Pseudomonadota
Methylomicrobium	Gammaproteobacteria	Pseudomonadota
Albimonas	Alphaproteobacteria	Pseudomonadota
Piscinibacter	Betaproteobacteria	Pseudomonadota
Muricauda	Flavobacteriia	Bacteroidota
Kineosphaera	Actinomycetes	Actinomycetota
Hoeflea	Alphaproteobacteria	Pseudomonadota
Methyloglobulus	Gammaproteobacteria	Pseudomonadota
NA	NA	Cyanobacteriota
Xanthobacter	Alphaproteobacteria	Pseudomonadota
Neobacillus	Bacilli	Bacillota
Simiduia	Gammaproteobacteria	Pseudomonadota
Marinifilum	Bacteroidia	Bacteroidota
Stanieria	Cyanophyceae	Cyanobacteriota
Picosynechococcus	Cyanophyceae	Cyanobacteriota
Actinomadura	Actinomycetes	Actinomycetota
Brevibacillus	Bacilli	Bacillota
Thermomonospora	Actinomycetes	Actinomycetota
Stenotrophomonas	Gammaproteobacteria	Pseudomonadota
Defluviicoccus	Alphaproteobacteria	Pseudomonadota
Ciceribacter	Alphaproteobacteria	Pseudomonadota
Undibacterium	Betaproteobacteria	Pseudomonadota
Methyloversatilis	Betaproteobacteria	Pseudomonadota
Ignatzschineria	Gammaproteobacteria	Pseudomonadota
Achromobacter	Betaproteobacteria	Pseudomonadota
Aquamicrobium	Alphaproteobacteria	Pseudomonadota
Sphingopyxis	Alphaproteobacteria	Pseudomonadota
Acetitomaculum	Clostridia	Bacillota
Acidocella	Alphaproteobacteria	Pseudomonadota
Actinomycetospora	Actinomycetes	Actinomycetota
Actinopolymorpha	Actinomycetes	Actinomycetota
Ahrensia	Alphaproteobacteria	Pseudomonadota
Algoriphagus	Cytophagia	Bacteroidota
Aliagarivorans	Gammaproteobacteria	Pseudomonadota
Effusibacillus	Bacilli	Bacillota
Alkanindiges	Gammaproteobacteria	Pseudomonadota
Amorphus	Alphaproteobacteria	Pseudomonadota
Andreprevotia	Betaproteobacteria	Pseudomonadota
Aneurinibacillus	Bacilli	Bacillota
Aquaspirillum	Betaproteobacteria	Pseudomonadota
Arenimonas	Gammaproteobacteria	Pseudomonadota
Asticcacaulis	Alphaproteobacteria	Pseudomonadota
Aureimonas	Alphaproteobacteria	Pseudomonadota
Parazoarcus	Betaproteobacteria	Pseudomonadota
Azohydromonas	Betaproteobacteria	Pseudomonadota
Azonexus	Betaproteobacteria	Pseudomonadota
Azospirillum	Alphaproteobacteria	Pseudomonadota
Azovibrio	Betaproteobacteria	Pseudomonadota
Ectobacillus	Bacilli	Bacillota
Belnapia	Alphaproteobacteria	Pseudomonadota
Brachymonas	Betaproteobacteria	Pseudomonadota
Brevundimonas	Alphaproteobacteria	Pseudomonadota
Caenimonas	Betaproteobacteria	Pseudomonadota
Caloranaerobacter	Tissierellia	Bacillota
Chitinilyticum	Betaproteobacteria	Pseudomonadota
Chitinimonas	Betaproteobacteria	Pseudomonadota
Epilithonimonas	Flavobacteriia	Bacteroidota
Clostridium	Clostridia	Bacillota
Paramaledivibacter	Clostridia	Bacillota
Ruminiclostridium	Clostridia	Bacillota
Asaccharospora	Clostridia	Bacillota
Anaerocolumna	Clostridia	Bacillota
Cohnella	Bacilli	Bacillota
Conchiformibius	Betaproteobacteria	Pseudomonadota
Corynebacterium	Actinomycetes	Actinomycetota
Cytophaga	Cytophagia	Bacteroidota
Deefgea	Betaproteobacteria	Pseudomonadota
Deinococcus	Deinococci	Deinococcota
Derxia	Betaproteobacteria	Pseudomonadota
Desulfacinum	Syntrophobacteria	Thermodesulfobacteriota
Desulfatibacillum	Desulfobacteria	Thermodesulfobacteriota
Desulfatirhabdium	Desulfobacteria	Thermodesulfobacteriota
Desulfitobacterium	Clostridia	Bacillota
Desulfobacter	Desulfobacteria	Thermodesulfobacteriota
Desulfatiglans	Desulfobacteria	Thermodesulfobacteriota
Desulfobulbus	Desulfobulbia	Thermodesulfobacteriota
Desulfogranum	Desulfobulbia	Thermodesulfobacteriota
Desulfomicrobium	Desulfovibrionia	Thermodesulfobacteriota
Desulfopila	Desulfobulbia	Thermodesulfobacteriota
Desulfosporosinus	Clostridia	Bacillota
Desulforamulus	Clostridia	Bacillota
Desulfofalx	Clostridia	Bacillota
Desulfotruncus	Clostridia	Bacillota
Desulfoscipio	Clostridia	Bacillota
Desulfallas	Clostridia	Bacillota
Desulfofundulus	Clostridia	Bacillota
Solidesulfovibrio	Desulfovibrionia	Thermodesulfobacteriota
Alkalidesulfovibrio	Desulfovibrionia	Thermodesulfobacteriota
Desulfovibrio	Desulfovibrionia	Thermodesulfobacteriota
Maridesulfovibrio	Desulfovibrionia	Thermodesulfobacteriota
Paucidesulfovibrio	Desulfovibrionia	Thermodesulfobacteriota
Fundidesulfovibrio	Desulfovibrionia	Thermodesulfobacteriota
Fodinicurvata	Alphaproteobacteria	Pseudomonadota
Edaphobacter	Terriglobia	Acidobacteriota
Elioraea	Alphaproteobacteria	Pseudomonadota
Enterovibrio	Gammaproteobacteria	Pseudomonadota
Ferrimonas	Gammaproteobacteria	Pseudomonadota
Geopsychrobacter	Desulfuromonadia	Thermodesulfobacteriota
Geothrix	Holophagae	Acidobacteriota
Haliea	Gammaproteobacteria	Pseudomonadota
Hamadaea	Actinomycetes	Actinomycetota
Hymenobacter	Cytophagia	Bacteroidota
Inquilinus	Alphaproteobacteria	Pseudomonadota
Kaistia	Alphaproteobacteria	Pseudomonadota
Kushneria	Gammaproteobacteria	Pseudomonadota
Lachnobacterium	Clostridia	Bacillota
Lampropedia	Betaproteobacteria	Pseudomonadota
Leeia	Betaproteobacteria	Pseudomonadota
Yoonia	Alphaproteobacteria	Pseudomonadota
Luteimonas	Gammaproteobacteria	Pseudomonadota
Lutispora	Clostridia	Bacillota
Marinactinospora	Actinomycetes	Actinomycetota
Marinimicrobium	Gammaproteobacteria	Pseudomonadota
Marinitoga	Thermotogae	Thermotogota
Marinospirillum	Gammaproteobacteria	Pseudomonadota
Martelella	Alphaproteobacteria	Pseudomonadota
Neomegalonema	Alphaproteobacteria	Pseudomonadota
Calidithermus	Deinococci	Deinococcota
Spongiibacter	Gammaproteobacteria	Pseudomonadota
Microvirgula	Betaproteobacteria	Pseudomonadota
Moraxella	Gammaproteobacteria	Pseudomonadota
Phreatobacter	Alphaproteobacteria	Pseudomonadota
Nevskia	Gammaproteobacteria	Pseudomonadota
Niabella	Chitinophagia	Bacteroidota
