sample	genus	superkingdom	taxonReads
191011_SND405_A_L007_APMG-6-1	Methanoculleus	Archaea	1
191011_SND405_A_L007_APMG-6-2	Methanoculleus	Archaea	1
191011_SND405_A_L007_APMG-6-3	Methanoculleus	Archaea	2
191011_SND405_A_L007_APMG-6-4	Methanoculleus	Archaea	1
191011_SND405_A_L007_APMG-6-6	Methanoculleus	Archaea	1
200313_A00902_A_L001_APMG-8-1	Methanoculleus	Archaea	2
200313_A00902_A_L001_APMG-8-11	Methanoculleus	Archaea	4
200313_A00902_A_L001_APMG-8-12	Methanoculleus	Archaea	2
200313_A00902_A_L001_APMG-8-4	Methanoculleus	Archaea	2
200313_A00902_A_L001_APMG-8-6	Methanoculleus	Archaea	2
200313_A00902_A_L001_APMG-8-8	Methanoculleus	Archaea	1
200313_A00902_A_L002_APMG-9-1	Methanoculleus	Archaea	1
200313_A00902_A_L002_APMG-9-10	Methanoculleus	Archaea	4
200313_A00902_A_L002_APMG-9-11	Methanoculleus	Archaea	6
200313_A00902_A_L002_APMG-9-2	Methanoculleus	Archaea	1
200313_A00902_A_L002_APMG-9-5	Methanoculleus	Archaea	3
200313_A00902_A_L002_APMG-9-6	Methanoculleus	Archaea	2
200313_A00902_A_L002_APMG-9-7	Methanoculleus	Archaea	1
200313_A00902_A_L002_APMG-9-8	Methanoculleus	Archaea	2
200313_A00902_A_L002_APMG-9-9	Methanoculleus	Archaea	1
201118_A00902_B_L1-2_APMG_19_1	Methanoculleus	Archaea	27
201118_A00902_B_L1-2_APMG_19_10	Methanoculleus	Archaea	13
201118_A00902_B_L1-2_APMG_19_11	Methanoculleus	Archaea	19
201118_A00902_B_L1-2_APMG_19_12	Methanoculleus	Archaea	41
201118_A00902_B_L1-2_APMG_19_13	Methanoculleus	Archaea	123
201118_A00902_B_L1-2_APMG_19_14	Methanoculleus	Archaea	279
201118_A00902_B_L1-2_APMG_19_15	Methanoculleus	Archaea	30
201118_A00902_B_L1-2_APMG_19_16	Methanoculleus	Archaea	60
201118_A00902_B_L1-2_APMG_19_17	Methanoculleus	Archaea	32
201118_A00902_B_L1-2_APMG_19_2	Methanoculleus	Archaea	27
201118_A00902_B_L1-2_APMG_19_3	Methanoculleus	Archaea	16
201118_A00902_B_L1-2_APMG_19_5	Methanoculleus	Archaea	22
201118_A00902_B_L1-2_APMG_19_6	Methanoculleus	Archaea	7
201118_A00902_B_L1-2_APMG_19_7	Methanoculleus	Archaea	35
201118_A00902_B_L1-2_APMG_19_8	Methanoculleus	Archaea	11
201118_A00902_B_L1-2_APMG_19_9	Methanoculleus	Archaea	19
210810_A00902_B_L001_APMG-37-1	Methanoculleus	Archaea	2
210810_A00902_B_L001_APMG-37-10	Methanoculleus	Archaea	11
210810_A00902_B_L001_APMG-37-11	Methanoculleus	Archaea	6
210810_A00902_B_L001_APMG-37-2	Methanoculleus	Archaea	5
210810_A00902_B_L001_APMG-37-3	Methanoculleus	Archaea	6
210810_A00902_B_L001_APMG-37-4	Methanoculleus	Archaea	5
210810_A00902_B_L001_APMG-37-6	Methanoculleus	Archaea	4
210810_A00902_B_L001_APMG-37-7	Methanoculleus	Archaea	12
210810_A00902_B_L001_APMG-37-8	Methanoculleus	Archaea	15
210810_A00902_B_L001_APMG-37-9	Methanoculleus	Archaea	13
210810_A00902_B_L002_APMG-38-1	Methanoculleus	Archaea	9
210810_A00902_B_L002_APMG-38-15	Methanoculleus	Archaea	18
210810_A00902_B_L002_APMG-38-2	Methanoculleus	Archaea	1
210810_A00902_B_L002_APMG-38-3	Methanoculleus	Archaea	4
210810_A00902_B_L002_APMG-38-4	Methanoculleus	Archaea	3
210810_A00902_B_L002_APMG-38-5	Methanoculleus	Archaea	3
210810_A00902_B_L002_APMG-38-7	Methanoculleus	Archaea	11
210810_A00902_B_L002_APMG-38-8	Methanoculleus	Archaea	6
210810_A00902_B_L002_APMG-38-9	Methanoculleus	Archaea	1
BH193L-2_S20	Methanoculleus	Archaea	2
BH193L-3_S20	Methanoculleus	Archaea	5
BH193L-4_S23	Methanoculleus	Archaea	5
BH193L-5_S24	Methanoculleus	Archaea	2
BH194L-1_S25	Methanoculleus	Archaea	7
BH194L-2_S26	Methanoculleus	Archaea	5
BH194L-3_S25	Methanoculleus	Archaea	10
BH194L-4_S16	Methanoculleus	Archaea	5
BH194L-4_S17	Methanoculleus	Archaea	1
BH194L-6_S26	Methanoculleus	Archaea	4
BH194L-7_S17	Methanoculleus	Archaea	3
BH194L-7_S18	Methanoculleus	Archaea	3
BH195L-1_S27	Methanoculleus	Archaea	1
BH195L-2_S18	Methanoculleus	Archaea	2
BH195L-2_S19	Methanoculleus	Archaea	1
BH195L-4_S29	Methanoculleus	Archaea	3
ELS162S7	Methanoculleus	Archaea	40
ELS163S8	Methanoculleus	Archaea	16
ELS165S9	Methanoculleus	Archaea	19
ELS167S10	Methanoculleus	Archaea	10
IE111L-1_S1	Methanoculleus	Archaea	34
IE111L-2_S2	Methanoculleus	Archaea	32
IE111L-3_S3	Methanoculleus	Archaea	20
IE111L-4_S1	Methanoculleus	Archaea	44
IE111L-5_S5	Methanoculleus	Archaea	40
IE111L-6_S6	Methanoculleus	Archaea	64
IE111L-7_S7	Methanoculleus	Archaea	24
IE112L-1_S9	Methanoculleus	Archaea	22
IE112L-2_S10	Methanoculleus	Archaea	32
IE112L-3_S11	Methanoculleus	Archaea	29
IE112L-4_S17	Methanoculleus	Archaea	31
IE112L-5_S18	Methanoculleus	Archaea	54
IE112L-6_S19	Methanoculleus	Archaea	20
IE112L-7_S12	Methanoculleus	Archaea	4
IE113L-1_S13	Methanoculleus	Archaea	10
IE113L-2_S14	Methanoculleus	Archaea	83
IE113L-3_S3	Methanoculleus	Archaea	42
IE113L-4_S4	Methanoculleus	Archaea	20
IE113L-5_S5	Methanoculleus	Archaea	36
IE113L-6_S6	Methanoculleus	Archaea	56
IE113L-7_S7	Methanoculleus	Archaea	37
IE114L-1_S9	Methanoculleus	Archaea	31
IE114L-2_S10	Methanoculleus	Archaea	47
IE114L-3_S11	Methanoculleus	Archaea	46
JK079L-1_S1	Methanoculleus	Archaea	13
JK079L-10-WDH_S10	Methanoculleus	Archaea	15
JK079L-11-WDH_S11	Methanoculleus	Archaea	10
JK079L-12-WDH_S12	Methanoculleus	Archaea	10
JK079L-13-WDH_S13	Methanoculleus	Archaea	8
JK079L-14-WDH_S14	Methanoculleus	Archaea	6
JK079L-2_S2	Methanoculleus	Archaea	16
JK079L-3_S3	Methanoculleus	Archaea	22
JK079L-4_S4	Methanoculleus	Archaea	11
JK079L-5_S5	Methanoculleus	Archaea	12
JK079L-6-WDH_S6	Methanoculleus	Archaea	12
JK079L-7-WDH_S7	Methanoculleus	Archaea	20
JK079L-8_S8	Methanoculleus	Archaea	17
JK079L-9_S9	Methanoculleus	Archaea	10
JK080L-1_S17	Methanoculleus	Archaea	3
JK080L-10_S26	Methanoculleus	Archaea	2
JK080L-11_S27	Methanoculleus	Archaea	19
JK080L-12_S28	Methanoculleus	Archaea	7
JK080L-13_S29	Methanoculleus	Archaea	11
JK080L-14_S30	Methanoculleus	Archaea	7
JK080L-2_S18	Methanoculleus	Archaea	2
JK080L-3_S19	Methanoculleus	Archaea	3
JK080L-4_S20	Methanoculleus	Archaea	6
JK080L-7_S23	Methanoculleus	Archaea	3
JK080L-8_S24	Methanoculleus	Archaea	7
JK080L-9_S25	Methanoculleus	Archaea	8
JK081L-1_S1	Methanoculleus	Archaea	6
JK081L-11_S11	Methanoculleus	Archaea	4
JK081L-12_S12	Methanoculleus	Archaea	7
JK081L-13_S13	Methanoculleus	Archaea	2
JK081L-2_S2	Methanoculleus	Archaea	10
JK081L-3_S3	Methanoculleus	Archaea	7
JK081L-4_S4	Methanoculleus	Archaea	5
JK081L-6_S6	Methanoculleus	Archaea	16
JK081L-7_S7	Methanoculleus	Archaea	7
JK081L-8_S8	Methanoculleus	Archaea	8
JK081L-9_S9	Methanoculleus	Archaea	18
JK105L-6_S21	Methanoculleus	Archaea	5
JK109L-4_S21	Methanoculleus	Archaea	5
JK109L-4_S22	Methanoculleus	Archaea	14
JK109L-5_S30	Methanoculleus	Archaea	1
JK115L-2_S24	Methanoculleus	Archaea	18
JK115L-4_S23	Methanoculleus	Archaea	13
JK136L-2_S2	Methanoculleus	Archaea	9
JK136L-3_S3	Methanoculleus	Archaea	4
JK136L-4_S4	Methanoculleus	Archaea	7
JK136L-5_S5	Methanoculleus	Archaea	1
JK136L-7_S7	Methanoculleus	Archaea	1
JK137L-1_S9	Methanoculleus	Archaea	4
JK137L-2_S10	Methanoculleus	Archaea	1
JK137L-3_S11	Methanoculleus	Archaea	4
JK137L-4_S12	Methanoculleus	Archaea	4
JK137L-5_S13	Methanoculleus	Archaea	5
JK137L-6_S14	Methanoculleus	Archaea	2
JK137L-7_S15	Methanoculleus	Archaea	2
JK138L-1_S17	Methanoculleus	Archaea	7
JK138L-2_S18	Methanoculleus	Archaea	3
JK138L-3_S19	Methanoculleus	Archaea	5
JK138L-4_S20	Methanoculleus	Archaea	2
JK138L-6_S22	Methanoculleus	Archaea	9
JK138L-7_S23	Methanoculleus	Archaea	3
JoW001L-1_S1	Methanoculleus	Archaea	1
JoW001L-3_S3	Methanoculleus	Archaea	3
JoW001L-4_S4	Methanoculleus	Archaea	2
JoW001L-6_S6	Methanoculleus	Archaea	2
JoW002L-1_S9	Methanoculleus	Archaea	2
JoW002L-4_S12	Methanoculleus	Archaea	1
JoW002L-5_S13	Methanoculleus	Archaea	1
JoW004L-4_S28	Methanoculleus	Archaea	1
JoW004L-5_S29	Methanoculleus	Archaea	1
JoW004L-6_S30	Methanoculleus	Archaea	1
JoW005L-2_S34	Methanoculleus	Archaea	1
JoW005L-3_S35	Methanoculleus	Archaea	7
JoW005L-4_S36	Methanoculleus	Archaea	4
JoW007L-6_S6	Methanoculleus	Archaea	1
StB097L-01_S1	Methanoculleus	Archaea	4
StB097L-02_S2	Methanoculleus	Archaea	1
StB097L-03_S3	Methanoculleus	Archaea	1
StB097L-04_S4	Methanoculleus	Archaea	4
StB097L-05_S5	Methanoculleus	Archaea	2
StB106L-01_S9	Methanoculleus	Archaea	2
StB106L-02_S10	Methanoculleus	Archaea	7
StB106L-04_S12	Methanoculleus	Archaea	2
StB106L-05_S13	Methanoculleus	Archaea	5
StB108L-01_S17	Methanoculleus	Archaea	3
StB108L-02_S18	Methanoculleus	Archaea	3
StB108L-03_S19	Methanoculleus	Archaea	2
StB108L-05_S21	Methanoculleus	Archaea	2
StB108L-07_S23	Methanoculleus	Archaea	7
StB109L-01_S25	Methanoculleus	Archaea	2
StB109L-02_S26	Methanoculleus	Archaea	3
StB109L-04_S28	Methanoculleus	Archaea	8
StB109L-05_S29	Methanoculleus	Archaea	13
StB109L-06_S30	Methanoculleus	Archaea	4
WJ192L-1_S29	Methanoculleus	Archaea	13
WJ192L-3_S30	Methanoculleus	Archaea	32
WJ192L-4_S31	Methanoculleus	Archaea	34
WJ192L-5_S32	Methanoculleus	Archaea	27
WJ194L-2_S22	Methanoculleus	Archaea	57
WJ194L-3_S23	Methanoculleus	Archaea	6
WJ194L-4_S24	Methanoculleus	Archaea	10
WJ194L-5_S25	Methanoculleus	Archaea	12
WJ194L-6_S26	Methanoculleus	Archaea	6
WJ195L-1_S17	Methanoculleus	Archaea	55
WJ195L-5_S18	Methanoculleus	Archaea	5
WJ196L-10_S10	Methanoculleus	Archaea	11
WJ196L-11_S11	Methanoculleus	Archaea	3
WJ196L-12_S12	Methanoculleus	Archaea	8
WJ196L-13_S13	Methanoculleus	Archaea	4
WJ196L-14_S14	Methanoculleus	Archaea	10
WJ196L-15_S15	Methanoculleus	Archaea	10
WJ196L-4_S4	Methanoculleus	Archaea	5
WJ196L-5_S5	Methanoculleus	Archaea	8
WJ196L-6_S6	Methanoculleus	Archaea	6
WJ196L-7_S7	Methanoculleus	Archaea	5
WJ196L-8_S8	Methanoculleus	Archaea	12
WJ196L-9_S9	Methanoculleus	Archaea	16
191011_SND405_A_L007_APMG-6-1	Colwellia	Bacteria	723
191011_SND405_A_L007_APMG-6-2	Colwellia	Bacteria	563
191011_SND405_A_L007_APMG-6-3	Colwellia	Bacteria	445
191011_SND405_A_L007_APMG-6-4	Colwellia	Bacteria	950
191011_SND405_A_L007_APMG-6-5	Colwellia	Bacteria	1179
191011_SND405_A_L007_APMG-6-6	Colwellia	Bacteria	317
200313_A00902_A_L001_APMG-8-1	Colwellia	Bacteria	1166
200313_A00902_A_L001_APMG-8-10	Colwellia	Bacteria	581
200313_A00902_A_L001_APMG-8-11	Colwellia	Bacteria	589
200313_A00902_A_L001_APMG-8-12	Colwellia	Bacteria	917
200313_A00902_A_L001_APMG-8-2	Colwellia	Bacteria	1112
200313_A00902_A_L001_APMG-8-3	Colwellia	Bacteria	945
200313_A00902_A_L001_APMG-8-4	Colwellia	Bacteria	1911
200313_A00902_A_L001_APMG-8-5	Colwellia	Bacteria	1359
200313_A00902_A_L001_APMG-8-6	Colwellia	Bacteria	721
200313_A00902_A_L001_APMG-8-7	Colwellia	Bacteria	6
200313_A00902_A_L001_APMG-8-8	Colwellia	Bacteria	3602
200313_A00902_A_L001_APMG-8-9	Colwellia	Bacteria	820
200313_A00902_A_L002_APMG-9-1	Colwellia	Bacteria	669
200313_A00902_A_L002_APMG-9-10	Colwellia	Bacteria	147
200313_A00902_A_L002_APMG-9-11	Colwellia	Bacteria	69
200313_A00902_A_L002_APMG-9-2	Colwellia	Bacteria	554
200313_A00902_A_L002_APMG-9-3	Colwellia	Bacteria	903
200313_A00902_A_L002_APMG-9-5	Colwellia	Bacteria	7393
200313_A00902_A_L002_APMG-9-6	Colwellia	Bacteria	1368
200313_A00902_A_L002_APMG-9-7	Colwellia	Bacteria	242
200313_A00902_A_L002_APMG-9-8	Colwellia	Bacteria	687
200313_A00902_A_L002_APMG-9-9	Colwellia	Bacteria	126
201118_A00902_B_L1-2_APMG_19_1	Colwellia	Bacteria	7
201118_A00902_B_L1-2_APMG_19_10	Colwellia	Bacteria	7
201118_A00902_B_L1-2_APMG_19_11	Colwellia	Bacteria	12
201118_A00902_B_L1-2_APMG_19_12	Colwellia	Bacteria	14
201118_A00902_B_L1-2_APMG_19_13	Colwellia	Bacteria	4
201118_A00902_B_L1-2_APMG_19_14	Colwellia	Bacteria	1
201118_A00902_B_L1-2_APMG_19_15	Colwellia	Bacteria	25
201118_A00902_B_L1-2_APMG_19_16	Colwellia	Bacteria	6
201118_A00902_B_L1-2_APMG_19_17	Colwellia	Bacteria	10
201118_A00902_B_L1-2_APMG_19_2	Colwellia	Bacteria	6
201118_A00902_B_L1-2_APMG_19_3	Colwellia	Bacteria	8
201118_A00902_B_L1-2_APMG_19_5	Colwellia	Bacteria	11
201118_A00902_B_L1-2_APMG_19_6	Colwellia	Bacteria	3
201118_A00902_B_L1-2_APMG_19_7	Colwellia	Bacteria	5
201118_A00902_B_L1-2_APMG_19_8	Colwellia	Bacteria	14
201118_A00902_B_L1-2_APMG_19_9	Colwellia	Bacteria	10
210810_A00902_B_L001_APMG-37-1	Colwellia	Bacteria	5
210810_A00902_B_L001_APMG-37-10	Colwellia	Bacteria	6
210810_A00902_B_L001_APMG-37-11	Colwellia	Bacteria	3
210810_A00902_B_L001_APMG-37-2	Colwellia	Bacteria	6
210810_A00902_B_L001_APMG-37-3	Colwellia	Bacteria	5
210810_A00902_B_L001_APMG-37-4	Colwellia	Bacteria	4
210810_A00902_B_L001_APMG-37-6	Colwellia	Bacteria	2
210810_A00902_B_L001_APMG-37-7	Colwellia	Bacteria	4
210810_A00902_B_L001_APMG-37-8	Colwellia	Bacteria	6
210810_A00902_B_L001_APMG-37-9	Colwellia	Bacteria	4
210810_A00902_B_L002_APMG-38-10	Colwellia	Bacteria	8
210810_A00902_B_L002_APMG-38-15	Colwellia	Bacteria	1
210810_A00902_B_L002_APMG-38-2	Colwellia	Bacteria	5
210810_A00902_B_L002_APMG-38-3	Colwellia	Bacteria	2
210810_A00902_B_L002_APMG-38-4	Colwellia	Bacteria	3
210810_A00902_B_L002_APMG-38-5	Colwellia	Bacteria	5
210810_A00902_B_L002_APMG-38-7	Colwellia	Bacteria	6
210810_A00902_B_L002_APMG-38-8	Colwellia	Bacteria	4
210810_A00902_B_L002_APMG-38-9	Colwellia	Bacteria	4
BH193L-1_S22	Colwellia	Bacteria	3
BH193L-2_S19	Colwellia	Bacteria	2
BH193L-2_S20	Colwellia	Bacteria	5
BH193L-3_S20	Colwellia	Bacteria	10
BH193L-4_S23	Colwellia	Bacteria	2
BH193L-5_S24	Colwellia	Bacteria	2
BH194L-1_S25	Colwellia	Bacteria	12
BH194L-2_S26	Colwellia	Bacteria	7
BH194L-3_S25	Colwellia	Bacteria	3
BH194L-4_S16	Colwellia	Bacteria	6
BH194L-4_S17	Colwellia	Bacteria	4
BH194L-6_S26	Colwellia	Bacteria	6
BH194L-7_S17	Colwellia	Bacteria	4
BH195L-1_S27	Colwellia	Bacteria	3
BH195L-2_S18	Colwellia	Bacteria	2
BH195L-3_S28	Colwellia	Bacteria	1
BH195L-4_S29	Colwellia	Bacteria	1
ELS162S7	Colwellia	Bacteria	6
ELS163S8	Colwellia	Bacteria	5
ELS165S9	Colwellia	Bacteria	7
ELS167S10	Colwellia	Bacteria	7
IE111L-1_S1	Colwellia	Bacteria	4
IE111L-2_S2	Colwellia	Bacteria	16
IE111L-3_S3	Colwellia	Bacteria	4
IE111L-4_S1	Colwellia	Bacteria	5
IE111L-5_S5	Colwellia	Bacteria	5
IE111L-6_S6	Colwellia	Bacteria	1
IE111L-7_S7	Colwellia	Bacteria	5
IE112L-1_S9	Colwellia	Bacteria	4
IE112L-2_S10	Colwellia	Bacteria	8
IE112L-3_S11	Colwellia	Bacteria	6
IE112L-4_S17	Colwellia	Bacteria	2
IE112L-5_S18	Colwellia	Bacteria	2
IE112L-6_S19	Colwellia	Bacteria	4
IE112L-7_S12	Colwellia	Bacteria	11
IE113L-1_S13	Colwellia	Bacteria	2
IE113L-2_S14	Colwellia	Bacteria	14
IE113L-3_S3	Colwellia	Bacteria	12
IE113L-4_S4	Colwellia	Bacteria	12
IE113L-5_S5	Colwellia	Bacteria	8
IE113L-6_S6	Colwellia	Bacteria	10
IE113L-7_S7	Colwellia	Bacteria	11
IE114L-1_S9	Colwellia	Bacteria	7
IE114L-2_S10	Colwellia	Bacteria	12
IE114L-3_S11	Colwellia	Bacteria	9
JK079L-1_S1	Colwellia	Bacteria	4
JK079L-10-WDH_S10	Colwellia	Bacteria	3
JK079L-11-WDH_S11	Colwellia	Bacteria	4
JK079L-12-WDH_S12	Colwellia	Bacteria	3
JK079L-13-WDH_S13	Colwellia	Bacteria	2
JK079L-14-WDH_S14	Colwellia	Bacteria	4
JK079L-2_S2	Colwellia	Bacteria	8
JK079L-3_S3	Colwellia	Bacteria	5
JK079L-4_S4	Colwellia	Bacteria	4
JK079L-5_S5	Colwellia	Bacteria	14
JK079L-6-WDH_S6	Colwellia	Bacteria	8
JK079L-7-WDH_S7	Colwellia	Bacteria	8
JK079L-8_S8	Colwellia	Bacteria	5
JK079L-9_S9	Colwellia	Bacteria	5
JK080L-1_S17	Colwellia	Bacteria	5
JK080L-10_S26	Colwellia	Bacteria	3
JK080L-11_S27	Colwellia	Bacteria	2
JK080L-12_S28	Colwellia	Bacteria	5
JK080L-13_S29	Colwellia	Bacteria	2
JK080L-14_S30	Colwellia	Bacteria	4
JK080L-2_S18	Colwellia	Bacteria	4
JK080L-3_S19	Colwellia	Bacteria	13
JK080L-4_S20	Colwellia	Bacteria	19
JK080L-6_S22	Colwellia	Bacteria	15
JK080L-7_S23	Colwellia	Bacteria	2
JK080L-9_S25	Colwellia	Bacteria	4
JK081L-1_S1	Colwellia	Bacteria	9
JK081L-11_S11	Colwellia	Bacteria	4
JK081L-12_S12	Colwellia	Bacteria	6
JK081L-13_S13	Colwellia	Bacteria	1
JK081L-2_S2	Colwellia	Bacteria	2
JK081L-3_S3	Colwellia	Bacteria	1
JK081L-4_S4	Colwellia	Bacteria	16
JK081L-6_S6	Colwellia	Bacteria	18
JK081L-7_S7	Colwellia	Bacteria	6
JK081L-8_S8	Colwellia	Bacteria	4
JK081L-9_S9	Colwellia	Bacteria	5
JK105L-6_S21	Colwellia	Bacteria	4
JK109L-4_S21	Colwellia	Bacteria	3
JK109L-4_S22	Colwellia	Bacteria	7
JK109L-5_S30	Colwellia	Bacteria	3
JK109L-6_S31	Colwellia	Bacteria	5
JK115L-2_S24	Colwellia	Bacteria	5
JK115L-4_S23	Colwellia	Bacteria	9
JK136L-2_S2	Colwellia	Bacteria	181
JK136L-3_S3	Colwellia	Bacteria	570
JK136L-4_S4	Colwellia	Bacteria	1263
JK136L-5_S5	Colwellia	Bacteria	2927
JK136L-6_S6	Colwellia	Bacteria	1546
JK136L-7_S7	Colwellia	Bacteria	5705
JK137L-1_S9	Colwellia	Bacteria	1024
JK137L-2_S10	Colwellia	Bacteria	479
JK137L-3_S11	Colwellia	Bacteria	1035
JK137L-4_S12	Colwellia	Bacteria	2554
JK137L-5_S13	Colwellia	Bacteria	14393
JK137L-6_S14	Colwellia	Bacteria	2172
JK137L-7_S15	Colwellia	Bacteria	1247
JK138L-1_S17	Colwellia	Bacteria	2047
JK138L-2_S18	Colwellia	Bacteria	1475
JK138L-3_S19	Colwellia	Bacteria	3119
JK138L-4_S20	Colwellia	Bacteria	3453
JK138L-6_S22	Colwellia	Bacteria	1268
JK138L-7_S23	Colwellia	Bacteria	462
JoW001L-1_S1	Colwellia	Bacteria	888
JoW001L-2_S2	Colwellia	Bacteria	58984
JoW001L-3_S3	Colwellia	Bacteria	1085
JoW001L-4_S4	Colwellia	Bacteria	165980
JoW001L-5_S5	Colwellia	Bacteria	12016
JoW001L-6_S6	Colwellia	Bacteria	2954
JoW002L-1_S9	Colwellia	Bacteria	4464
JoW002L-2_S10	Colwellia	Bacteria	12954
JoW002L-3_S11	Colwellia	Bacteria	64
JoW002L-4_S12	Colwellia	Bacteria	226514
JoW002L-5_S13	Colwellia	Bacteria	1771532
JoW002L-6_S14	Colwellia	Bacteria	618114
JoW002L-7_S15	Colwellia	Bacteria	1
JoW003L-1_S17	Colwellia	Bacteria	378182
JoW003L-2_S18	Colwellia	Bacteria	318996
JoW003L-3_S19	Colwellia	Bacteria	87521
JoW003L-4_S20	Colwellia	Bacteria	19461
JoW003L-5_S21	Colwellia	Bacteria	71428
JoW003L-6_S22	Colwellia	Bacteria	15316
JoW003L-8_S24	Colwellia	Bacteria	7
JoW004L-1_S25	Colwellia	Bacteria	24589
JoW004L-2_S26	Colwellia	Bacteria	80694
JoW004L-3_S27	Colwellia	Bacteria	6473
JoW004L-4_S28	Colwellia	Bacteria	18745
JoW004L-5_S29	Colwellia	Bacteria	1364
JoW004L-6_S30	Colwellia	Bacteria	14329
JoW004L-8_S32	Colwellia	Bacteria	56
JoW005L-1_S33	Colwellia	Bacteria	632629
JoW005L-2_S34	Colwellia	Bacteria	587842
JoW005L-3_S35	Colwellia	Bacteria	864253
JoW005L-4_S36	Colwellia	Bacteria	41443
JoW007L-1_S1	Colwellia	Bacteria	2599
JoW007L-2_S2	Colwellia	Bacteria	10591
JoW007L-3_S3	Colwellia	Bacteria	6206
JoW007L-4_S4	Colwellia	Bacteria	12743
JoW007L-5_S5	Colwellia	Bacteria	270050
JoW007L-6_S6	Colwellia	Bacteria	1449
StB097L-01_S1	Colwellia	Bacteria	8584
StB097L-02_S2	Colwellia	Bacteria	2144
StB097L-03_S3	Colwellia	Bacteria	851
StB097L-04_S4	Colwellia	Bacteria	2156
StB097L-05_S5	Colwellia	Bacteria	2668
StB097L-06_S6	Colwellia	Bacteria	737
StB106L-01_S9	Colwellia	Bacteria	105
StB106L-02_S10	Colwellia	Bacteria	184
StB106L-04_S12	Colwellia	Bacteria	205
StB106L-05_S13	Colwellia	Bacteria	217
StB108L-01_S17	Colwellia	Bacteria	2565
StB108L-02_S18	Colwellia	Bacteria	2275
StB108L-03_S19	Colwellia	Bacteria	1020
StB108L-05_S21	Colwellia	Bacteria	753
StB108L-07_S23	Colwellia	Bacteria	267
StB109L-01_S25	Colwellia	Bacteria	39920
StB109L-02_S26	Colwellia	Bacteria	3389
StB109L-04_S28	Colwellia	Bacteria	3415
StB109L-05_S29	Colwellia	Bacteria	1893
StB109L-06_S30	Colwellia	Bacteria	1237
WJ192L-1_S29	Colwellia	Bacteria	1
WJ192L-3_S30	Colwellia	Bacteria	4
WJ192L-4_S31	Colwellia	Bacteria	6
WJ192L-5_S32	Colwellia	Bacteria	2
WJ192L-6_S33	Colwellia	Bacteria	2
WJ194L-2_S22	Colwellia	Bacteria	2
WJ194L-3_S23	Colwellia	Bacteria	2
WJ194L-4_S24	Colwellia	Bacteria	3
WJ194L-5_S25	Colwellia	Bacteria	3
WJ194L-6_S26	Colwellia	Bacteria	4
WJ195L-1_S17	Colwellia	Bacteria	3
WJ195L-5_S18	Colwellia	Bacteria	1
WJ196L-10_S10	Colwellia	Bacteria	1
WJ196L-11_S11	Colwellia	Bacteria	2
WJ196L-12_S12	Colwellia	Bacteria	7
WJ196L-13_S13	Colwellia	Bacteria	6
WJ196L-14_S14	Colwellia	Bacteria	3
WJ196L-16_S16	Colwellia	Bacteria	3
WJ196L-4_S4	Colwellia	Bacteria	1
WJ196L-6_S6	Colwellia	Bacteria	1
WJ196L-7_S7	Colwellia	Bacteria	1
WJ196L-8_S8	Colwellia	Bacteria	3
191011_SND405_A_L007_APMG-6-3	Cyanobacterium	Bacteria	1
191011_SND405_A_L007_APMG-6-4	Cyanobacterium	Bacteria	2
200313_A00902_A_L001_APMG-8-1	Cyanobacterium	Bacteria	2
200313_A00902_A_L001_APMG-8-10	Cyanobacterium	Bacteria	2
200313_A00902_A_L001_APMG-8-11	Cyanobacterium	Bacteria	7
200313_A00902_A_L001_APMG-8-12	Cyanobacterium	Bacteria	3
200313_A00902_A_L001_APMG-8-2	Cyanobacterium	Bacteria	2
200313_A00902_A_L001_APMG-8-5	Cyanobacterium	Bacteria	1
200313_A00902_A_L001_APMG-8-6	Cyanobacterium	Bacteria	1
200313_A00902_A_L001_APMG-8-9	Cyanobacterium	Bacteria	4
200313_A00902_A_L002_APMG-9-10	Cyanobacterium	Bacteria	2
200313_A00902_A_L002_APMG-9-2	Cyanobacterium	Bacteria	2
200313_A00902_A_L002_APMG-9-3	Cyanobacterium	Bacteria	1
200313_A00902_A_L002_APMG-9-7	Cyanobacterium	Bacteria	2
200313_A00902_A_L002_APMG-9-9	Cyanobacterium	Bacteria	1
201118_A00902_B_L1-2_APMG_19_1	Cyanobacterium	Bacteria	1
201118_A00902_B_L1-2_APMG_19_11	Cyanobacterium	Bacteria	2
201118_A00902_B_L1-2_APMG_19_12	Cyanobacterium	Bacteria	2
201118_A00902_B_L1-2_APMG_19_13	Cyanobacterium	Bacteria	1
201118_A00902_B_L1-2_APMG_19_15	Cyanobacterium	Bacteria	3
201118_A00902_B_L1-2_APMG_19_16	Cyanobacterium	Bacteria	1
201118_A00902_B_L1-2_APMG_19_2	Cyanobacterium	Bacteria	2
201118_A00902_B_L1-2_APMG_19_8	Cyanobacterium	Bacteria	1
201118_A00902_B_L1-2_APMG_19_9	Cyanobacterium	Bacteria	2
210810_A00902_B_L001_APMG-37-10	Cyanobacterium	Bacteria	6
210810_A00902_B_L001_APMG-37-11	Cyanobacterium	Bacteria	1
210810_A00902_B_L001_APMG-37-6	Cyanobacterium	Bacteria	7
210810_A00902_B_L001_APMG-37-7	Cyanobacterium	Bacteria	4
210810_A00902_B_L001_APMG-37-8	Cyanobacterium	Bacteria	6
210810_A00902_B_L001_APMG-37-9	Cyanobacterium	Bacteria	4
