sample	class	superkingdom	taxonReads
JoW007L-4_S4	Desulfovibrionia	Bacteria	105
JoW007L-5_S5	Desulfovibrionia	Bacteria	420
JoW007L-6_S6	Desulfovibrionia	Bacteria	25
StB097L-01_S1	Desulfovibrionia	Bacteria	177
StB097L-02_S2	Desulfovibrionia	Bacteria	196
StB097L-03_S3	Desulfovibrionia	Bacteria	146
StB097L-04_S4	Desulfovibrionia	Bacteria	160
StB097L-05_S5	Desulfovibrionia	Bacteria	129
StB097L-06_S6	Desulfovibrionia	Bacteria	172
StB106L-01_S9	Desulfovibrionia	Bacteria	157
StB106L-02_S10	Desulfovibrionia	Bacteria	138
StB106L-04_S12	Desulfovibrionia	Bacteria	190
StB106L-05_S13	Desulfovibrionia	Bacteria	159
StB108L-01_S17	Desulfovibrionia	Bacteria	112
StB108L-02_S18	Desulfovibrionia	Bacteria	214
StB108L-03_S19	Desulfovibrionia	Bacteria	124
StB108L-05_S21	Desulfovibrionia	Bacteria	126
StB108L-07_S23	Desulfovibrionia	Bacteria	56
StB108L-08_S24	Desulfovibrionia	Bacteria	2
StB109L-01_S25	Desulfovibrionia	Bacteria	73
StB109L-02_S26	Desulfovibrionia	Bacteria	105
StB109L-04_S28	Desulfovibrionia	Bacteria	94
StB109L-05_S29	Desulfovibrionia	Bacteria	83
StB109L-06_S30	Desulfovibrionia	Bacteria	143
WJ192L-1_S29	Desulfovibrionia	Bacteria	162
WJ192L-3_S30	Desulfovibrionia	Bacteria	172
WJ192L-4_S31	Desulfovibrionia	Bacteria	156
WJ192L-5_S32	Desulfovibrionia	Bacteria	191
WJ192L-7_S34	Desulfovibrionia	Bacteria	1
WJ194L-2_S22	Desulfovibrionia	Bacteria	117
WJ194L-3_S23	Desulfovibrionia	Bacteria	71
WJ194L-4_S24	Desulfovibrionia	Bacteria	104
WJ194L-5_S25	Desulfovibrionia	Bacteria	76
WJ194L-6_S26	Desulfovibrionia	Bacteria	95
WJ195L-1_S17	Desulfovibrionia	Bacteria	103
WJ195L-5_S18	Desulfovibrionia	Bacteria	32
WJ196L-10_S10	Desulfovibrionia	Bacteria	78
WJ196L-11_S11	Desulfovibrionia	Bacteria	209
WJ196L-12_S12	Desulfovibrionia	Bacteria	180
WJ196L-13_S13	Desulfovibrionia	Bacteria	122
WJ196L-14_S14	Desulfovibrionia	Bacteria	156
WJ196L-15_S15	Desulfovibrionia	Bacteria	98
WJ196L-4_S4	Desulfovibrionia	Bacteria	104
WJ196L-5_S5	Desulfovibrionia	Bacteria	86
WJ196L-6_S6	Desulfovibrionia	Bacteria	88
WJ196L-7_S7	Desulfovibrionia	Bacteria	98
WJ196L-8_S8	Desulfovibrionia	Bacteria	96
WJ196L-9_S9	Desulfovibrionia	Bacteria	154
191011_SND405_A_L007_APMG-6-1	Desulfurellia	Bacteria	1
191011_SND405_A_L007_APMG-6-2	Desulfurellia	Bacteria	3
191011_SND405_A_L007_APMG-6-3	Desulfurellia	Bacteria	1
191011_SND405_A_L007_APMG-6-5	Desulfurellia	Bacteria	1
200313_A00902_A_L001_APMG-8-1	Desulfurellia	Bacteria	1
200313_A00902_A_L001_APMG-8-10	Desulfurellia	Bacteria	1
200313_A00902_A_L001_APMG-8-11	Desulfurellia	Bacteria	2
200313_A00902_A_L001_APMG-8-12	Desulfurellia	Bacteria	3
200313_A00902_A_L001_APMG-8-2	Desulfurellia	Bacteria	1
200313_A00902_A_L001_APMG-8-3	Desulfurellia	Bacteria	1
200313_A00902_A_L001_APMG-8-4	Desulfurellia	Bacteria	3
200313_A00902_A_L001_APMG-8-5	Desulfurellia	Bacteria	2
200313_A00902_A_L001_APMG-8-6	Desulfurellia	Bacteria	1
200313_A00902_A_L001_APMG-8-9	Desulfurellia	Bacteria	2
200313_A00902_A_L002_APMG-9-1	Desulfurellia	Bacteria	1
200313_A00902_A_L002_APMG-9-11	Desulfurellia	Bacteria	2
200313_A00902_A_L002_APMG-9-6	Desulfurellia	Bacteria	5
200313_A00902_A_L002_APMG-9-7	Desulfurellia	Bacteria	1
200313_A00902_A_L002_APMG-9-8	Desulfurellia	Bacteria	1
200313_A00902_A_L002_APMG-9-9	Desulfurellia	Bacteria	2
201118_A00902_B_L1-2_APMG_19_1	Desulfurellia	Bacteria	11
201118_A00902_B_L1-2_APMG_19_10	Desulfurellia	Bacteria	2
201118_A00902_B_L1-2_APMG_19_11	Desulfurellia	Bacteria	4
201118_A00902_B_L1-2_APMG_19_12	Desulfurellia	Bacteria	8
201118_A00902_B_L1-2_APMG_19_13	Desulfurellia	Bacteria	1
201118_A00902_B_L1-2_APMG_19_14	Desulfurellia	Bacteria	2
201118_A00902_B_L1-2_APMG_19_15	Desulfurellia	Bacteria	5
201118_A00902_B_L1-2_APMG_19_16	Desulfurellia	Bacteria	10
201118_A00902_B_L1-2_APMG_19_17	Desulfurellia	Bacteria	5
201118_A00902_B_L1-2_APMG_19_2	Desulfurellia	Bacteria	8
201118_A00902_B_L1-2_APMG_19_3	Desulfurellia	Bacteria	5
201118_A00902_B_L1-2_APMG_19_5	Desulfurellia	Bacteria	4
201118_A00902_B_L1-2_APMG_19_7	Desulfurellia	Bacteria	1
201118_A00902_B_L1-2_APMG_19_8	Desulfurellia	Bacteria	7
201118_A00902_B_L1-2_APMG_19_9	Desulfurellia	Bacteria	6
210810_A00902_B_L001_APMG-37-10	Desulfurellia	Bacteria	1
210810_A00902_B_L001_APMG-37-11	Desulfurellia	Bacteria	5
210810_A00902_B_L001_APMG-37-3	Desulfurellia	Bacteria	2
210810_A00902_B_L001_APMG-37-6	Desulfurellia	Bacteria	2
210810_A00902_B_L001_APMG-37-7	Desulfurellia	Bacteria	5
210810_A00902_B_L001_APMG-37-8	Desulfurellia	Bacteria	8
210810_A00902_B_L001_APMG-37-9	Desulfurellia	Bacteria	4
210810_A00902_B_L002_APMG-38-1	Desulfurellia	Bacteria	4
210810_A00902_B_L002_APMG-38-10	Desulfurellia	Bacteria	2
210810_A00902_B_L002_APMG-38-15	Desulfurellia	Bacteria	2
210810_A00902_B_L002_APMG-38-2	Desulfurellia	Bacteria	2
210810_A00902_B_L002_APMG-38-3	Desulfurellia	Bacteria	2
210810_A00902_B_L002_APMG-38-5	Desulfurellia	Bacteria	3
210810_A00902_B_L002_APMG-38-7	Desulfurellia	Bacteria	4
210810_A00902_B_L002_APMG-38-8	Desulfurellia	Bacteria	2
BH193L-2_S19	Desulfurellia	Bacteria	1
BH193L-5_S24	Desulfurellia	Bacteria	2
BH194L-1_S25	Desulfurellia	Bacteria	3
BH194L-3_S25	Desulfurellia	Bacteria	2
BH194L-4_S16	Desulfurellia	Bacteria	3
BH194L-7_S17	Desulfurellia	Bacteria	2
BH194L-7_S18	Desulfurellia	Bacteria	2
BH195L-1_S27	Desulfurellia	Bacteria	1
BH195L-2_S18	Desulfurellia	Bacteria	2
BH195L-3_S28	Desulfurellia	Bacteria	1
BH195L-4_S29	Desulfurellia	Bacteria	1
ELS162S7	Desulfurellia	Bacteria	2
ELS165S9	Desulfurellia	Bacteria	2
ELS167S10	Desulfurellia	Bacteria	1
IE111L-1_S1	Desulfurellia	Bacteria	1
IE111L-2_S2	Desulfurellia	Bacteria	3
IE111L-3_S3	Desulfurellia	Bacteria	2
IE111L-4_S1	Desulfurellia	Bacteria	5
IE111L-5_S5	Desulfurellia	Bacteria	3
IE111L-7_S7	Desulfurellia	Bacteria	5
IE112L-1_S9	Desulfurellia	Bacteria	8
IE112L-2_S10	Desulfurellia	Bacteria	3
IE112L-4_S17	Desulfurellia	Bacteria	1
IE112L-5_S18	Desulfurellia	Bacteria	1
IE112L-6_S19	Desulfurellia	Bacteria	2
IE113L-1_S13	Desulfurellia	Bacteria	1
IE113L-2_S14	Desulfurellia	Bacteria	8
IE113L-3_S3	Desulfurellia	Bacteria	10
IE113L-4_S4	Desulfurellia	Bacteria	5
IE113L-5_S5	Desulfurellia	Bacteria	3
IE113L-6_S6	Desulfurellia	Bacteria	2
IE113L-7_S7	Desulfurellia	Bacteria	3
IE114L-1_S9	Desulfurellia	Bacteria	1
IE114L-2_S10	Desulfurellia	Bacteria	5
IE114L-3_S11	Desulfurellia	Bacteria	2
JK079L-1_S1	Desulfurellia	Bacteria	1
JK079L-10-WDH_S10	Desulfurellia	Bacteria	5
JK079L-11-WDH_S11	Desulfurellia	Bacteria	3
JK079L-12-WDH_S12	Desulfurellia	Bacteria	3
JK079L-13-WDH_S13	Desulfurellia	Bacteria	4
JK079L-2_S2	Desulfurellia	Bacteria	4
JK079L-4_S4	Desulfurellia	Bacteria	2
JK079L-5_S5	Desulfurellia	Bacteria	2
JK079L-6-WDH_S6	Desulfurellia	Bacteria	3
JK079L-8_S8	Desulfurellia	Bacteria	1
JK079L-9_S9	Desulfurellia	Bacteria	5
JK080L-11_S27	Desulfurellia	Bacteria	2
JK080L-13_S29	Desulfurellia	Bacteria	3
JK080L-2_S18	Desulfurellia	Bacteria	1
JK080L-3_S19	Desulfurellia	Bacteria	2
JK080L-4_S20	Desulfurellia	Bacteria	2
JK080L-6_S22	Desulfurellia	Bacteria	1
JK080L-9_S25	Desulfurellia	Bacteria	2
JK081L-11_S11	Desulfurellia	Bacteria	3
JK081L-12_S12	Desulfurellia	Bacteria	2
JK081L-13_S13	Desulfurellia	Bacteria	1
JK081L-2_S2	Desulfurellia	Bacteria	2
JK081L-4_S4	Desulfurellia	Bacteria	2
JK081L-8_S8	Desulfurellia	Bacteria	5
JK081L-9_S9	Desulfurellia	Bacteria	3
JK105L-6_S21	Desulfurellia	Bacteria	2
JK109L-4_S21	Desulfurellia	Bacteria	2
JK109L-4_S22	Desulfurellia	Bacteria	2
JK109L-5_S30	Desulfurellia	Bacteria	1
JK109L-6_S31	Desulfurellia	Bacteria	1
JK115L-2_S24	Desulfurellia	Bacteria	1
JK115L-4_S23	Desulfurellia	Bacteria	3
JK136L-2_S2	Desulfurellia	Bacteria	1
JK136L-3_S3	Desulfurellia	Bacteria	1
JK136L-4_S4	Desulfurellia	Bacteria	2
JK136L-5_S5	Desulfurellia	Bacteria	6
JK136L-7_S7	Desulfurellia	Bacteria	7
JK137L-1_S9	Desulfurellia	Bacteria	2
JK137L-2_S10	Desulfurellia	Bacteria	1
JK137L-3_S11	Desulfurellia	Bacteria	4
JK137L-4_S12	Desulfurellia	Bacteria	1
JK137L-6_S14	Desulfurellia	Bacteria	3
JK138L-1_S17	Desulfurellia	Bacteria	4
JK138L-2_S18	Desulfurellia	Bacteria	2
JK138L-3_S19	Desulfurellia	Bacteria	2
JK138L-7_S23	Desulfurellia	Bacteria	2
JoW001L-1_S1	Desulfurellia	Bacteria	4
JoW001L-2_S2	Desulfurellia	Bacteria	1
JoW001L-3_S3	Desulfurellia	Bacteria	4
JoW001L-4_S4	Desulfurellia	Bacteria	1
JoW001L-5_S5	Desulfurellia	Bacteria	4
JoW001L-6_S6	Desulfurellia	Bacteria	3
JoW002L-1_S9	Desulfurellia	Bacteria	3
JoW002L-2_S10	Desulfurellia	Bacteria	1
JoW002L-4_S12	Desulfurellia	Bacteria	4
JoW002L-5_S13	Desulfurellia	Bacteria	1
JoW002L-6_S14	Desulfurellia	Bacteria	1
JoW003L-2_S18	Desulfurellia	Bacteria	2
JoW003L-3_S19	Desulfurellia	Bacteria	5
JoW004L-4_S28	Desulfurellia	Bacteria	1
JoW004L-6_S30	Desulfurellia	Bacteria	1
JoW005L-1_S33	Desulfurellia	Bacteria	2
JoW005L-2_S34	Desulfurellia	Bacteria	4
JoW005L-3_S35	Desulfurellia	Bacteria	2
JoW005L-4_S36	Desulfurellia	Bacteria	6
JoW007L-2_S2	Desulfurellia	Bacteria	1
JoW007L-3_S3	Desulfurellia	Bacteria	2
JoW007L-5_S5	Desulfurellia	Bacteria	2
JoW007L-6_S6	Desulfurellia	Bacteria	6
StB097L-01_S1	Desulfurellia	Bacteria	4
StB097L-02_S2	Desulfurellia	Bacteria	1
StB097L-03_S3	Desulfurellia	Bacteria	3
StB097L-04_S4	Desulfurellia	Bacteria	3
StB097L-05_S5	Desulfurellia	Bacteria	3
StB097L-06_S6	Desulfurellia	Bacteria	3
StB106L-01_S9	Desulfurellia	Bacteria	1
StB106L-02_S10	Desulfurellia	Bacteria	3
StB106L-04_S12	Desulfurellia	Bacteria	2
StB106L-05_S13	Desulfurellia	Bacteria	3
StB108L-01_S17	Desulfurellia	Bacteria	1
StB108L-02_S18	Desulfurellia	Bacteria	1
StB108L-03_S19	Desulfurellia	Bacteria	3
StB108L-05_S21	Desulfurellia	Bacteria	1
StB108L-07_S23	Desulfurellia	Bacteria	4
StB109L-01_S25	Desulfurellia	Bacteria	2
StB109L-02_S26	Desulfurellia	Bacteria	2
StB109L-04_S28	Desulfurellia	Bacteria	1
StB109L-05_S29	Desulfurellia	Bacteria	1
StB109L-06_S30	Desulfurellia	Bacteria	7
WJ192L-1_S29	Desulfurellia	Bacteria	5
WJ192L-3_S30	Desulfurellia	Bacteria	1
WJ192L-4_S31	Desulfurellia	Bacteria	2
WJ192L-5_S32	Desulfurellia	Bacteria	3
WJ194L-2_S22	Desulfurellia	Bacteria	2
WJ194L-4_S24	Desulfurellia	Bacteria	6
WJ194L-5_S25	Desulfurellia	Bacteria	5
WJ194L-6_S26	Desulfurellia	Bacteria	12
WJ195L-1_S17	Desulfurellia	Bacteria	3
WJ195L-5_S18	Desulfurellia	Bacteria	3
WJ196L-10_S10	Desulfurellia	Bacteria	6
WJ196L-11_S11	Desulfurellia	Bacteria	3
WJ196L-12_S12	Desulfurellia	Bacteria	5
WJ196L-13_S13	Desulfurellia	Bacteria	2
WJ196L-14_S14	Desulfurellia	Bacteria	7
WJ196L-4_S4	Desulfurellia	Bacteria	1
WJ196L-5_S5	Desulfurellia	Bacteria	1
WJ196L-6_S6	Desulfurellia	Bacteria	3
WJ196L-7_S7	Desulfurellia	Bacteria	1
WJ196L-9_S9	Desulfurellia	Bacteria	1
191011_SND405_A_L007_APMG-6-2	Desulfuribacillia	Bacteria	102
191011_SND405_A_L007_APMG-6-3	Desulfuribacillia	Bacteria	115
191011_SND405_A_L007_APMG-6-4	Desulfuribacillia	Bacteria	13
191011_SND405_A_L007_APMG-6-6	Desulfuribacillia	Bacteria	5
200313_A00902_A_L001_APMG-8-1	Desulfuribacillia	Bacteria	1
200313_A00902_A_L001_APMG-8-10	Desulfuribacillia	Bacteria	33
200313_A00902_A_L001_APMG-8-11	Desulfuribacillia	Bacteria	98
200313_A00902_A_L001_APMG-8-12	Desulfuribacillia	Bacteria	58
200313_A00902_A_L001_APMG-8-3	Desulfuribacillia	Bacteria	2
200313_A00902_A_L001_APMG-8-4	Desulfuribacillia	Bacteria	5
200313_A00902_A_L001_APMG-8-5	Desulfuribacillia	Bacteria	4
200313_A00902_A_L001_APMG-8-6	Desulfuribacillia	Bacteria	51
200313_A00902_A_L001_APMG-8-8	Desulfuribacillia	Bacteria	2
200313_A00902_A_L001_APMG-8-9	Desulfuribacillia	Bacteria	10
200313_A00902_A_L002_APMG-9-1	Desulfuribacillia	Bacteria	33
200313_A00902_A_L002_APMG-9-10	Desulfuribacillia	Bacteria	3
200313_A00902_A_L002_APMG-9-11	Desulfuribacillia	Bacteria	1
200313_A00902_A_L002_APMG-9-2	Desulfuribacillia	Bacteria	63
200313_A00902_A_L002_APMG-9-3	Desulfuribacillia	Bacteria	74
200313_A00902_A_L002_APMG-9-5	Desulfuribacillia	Bacteria	108
200313_A00902_A_L002_APMG-9-6	Desulfuribacillia	Bacteria	9
200313_A00902_A_L002_APMG-9-7	Desulfuribacillia	Bacteria	3
200313_A00902_A_L002_APMG-9-8	Desulfuribacillia	Bacteria	3
200313_A00902_A_L002_APMG-9-9	Desulfuribacillia	Bacteria	1
201118_A00902_B_L1-2_APMG_19_1	Desulfuribacillia	Bacteria	2
201118_A00902_B_L1-2_APMG_19_10	Desulfuribacillia	Bacteria	1
201118_A00902_B_L1-2_APMG_19_11	Desulfuribacillia	Bacteria	1
201118_A00902_B_L1-2_APMG_19_12	Desulfuribacillia	Bacteria	1
201118_A00902_B_L1-2_APMG_19_13	Desulfuribacillia	Bacteria	1
201118_A00902_B_L1-2_APMG_19_14	Desulfuribacillia	Bacteria	3
201118_A00902_B_L1-2_APMG_19_15	Desulfuribacillia	Bacteria	8
201118_A00902_B_L1-2_APMG_19_2	Desulfuribacillia	Bacteria	1
201118_A00902_B_L1-2_APMG_19_3	Desulfuribacillia	Bacteria	1
201118_A00902_B_L1-2_APMG_19_6	Desulfuribacillia	Bacteria	2
201118_A00902_B_L1-2_APMG_19_8	Desulfuribacillia	Bacteria	2
201118_A00902_B_L1-2_APMG_19_9	Desulfuribacillia	Bacteria	1
210810_A00902_B_L001_APMG-37-1	Desulfuribacillia	Bacteria	1
210810_A00902_B_L001_APMG-37-8	Desulfuribacillia	Bacteria	2
210810_A00902_B_L002_APMG-38-10	Desulfuribacillia	Bacteria	2
210810_A00902_B_L002_APMG-38-3	Desulfuribacillia	Bacteria	1
210810_A00902_B_L002_APMG-38-4	Desulfuribacillia	Bacteria	2
210810_A00902_B_L002_APMG-38-5	Desulfuribacillia	Bacteria	1
210810_A00902_B_L002_APMG-38-7	Desulfuribacillia	Bacteria	1
BH193L-3_S20	Desulfuribacillia	Bacteria	6
BH194L-4_S17	Desulfuribacillia	Bacteria	1
BH194L-7_S18	Desulfuribacillia	Bacteria	2
BH195L-2_S18	Desulfuribacillia	Bacteria	1
BH195L-3_S28	Desulfuribacillia	Bacteria	1
ELS162S7	Desulfuribacillia	Bacteria	3
ELS163S8	Desulfuribacillia	Bacteria	17
ELS165S9	Desulfuribacillia	Bacteria	1
IE111L-1_S1	Desulfuribacillia	Bacteria	2
IE111L-2_S2	Desulfuribacillia	Bacteria	11
IE111L-3_S3	Desulfuribacillia	Bacteria	1
IE111L-4_S1	Desulfuribacillia	Bacteria	1
IE111L-6_S6	Desulfuribacillia	Bacteria	1
IE111L-7_S7	Desulfuribacillia	Bacteria	2
IE112L-2_S10	Desulfuribacillia	Bacteria	4
IE112L-4_S17	Desulfuribacillia	Bacteria	1
IE112L-5_S18	Desulfuribacillia	Bacteria	7
IE112L-7_S12	Desulfuribacillia	Bacteria	1
IE113L-2_S14	Desulfuribacillia	Bacteria	3
IE113L-3_S3	Desulfuribacillia	Bacteria	5
IE113L-4_S4	Desulfuribacillia	Bacteria	4
IE113L-5_S5	Desulfuribacillia	Bacteria	1
IE113L-6_S6	Desulfuribacillia	Bacteria	2
IE113L-7_S7	Desulfuribacillia	Bacteria	5
IE114L-1_S9	Desulfuribacillia	Bacteria	1
IE114L-2_S10	Desulfuribacillia	Bacteria	1
IE114L-3_S11	Desulfuribacillia	Bacteria	1
JK079L-1_S1	Desulfuribacillia	Bacteria	1
JK079L-10-WDH_S10	Desulfuribacillia	Bacteria	1
JK079L-11-WDH_S11	Desulfuribacillia	Bacteria	1
JK079L-13-WDH_S13	Desulfuribacillia	Bacteria	2
JK079L-14-WDH_S14	Desulfuribacillia	Bacteria	2
JK079L-2_S2	Desulfuribacillia	Bacteria	1
JK079L-3_S3	Desulfuribacillia	Bacteria	3
JK079L-5_S5	Desulfuribacillia	Bacteria	3
JK079L-6-WDH_S6	Desulfuribacillia	Bacteria	4
JK079L-7-WDH_S7	Desulfuribacillia	Bacteria	3
JK079L-8_S8	Desulfuribacillia	Bacteria	1
JK079L-9_S9	Desulfuribacillia	Bacteria	10
JK080L-1_S17	Desulfuribacillia	Bacteria	4
JK080L-12_S28	Desulfuribacillia	Bacteria	1
JK080L-14_S30	Desulfuribacillia	Bacteria	2
JK080L-3_S19	Desulfuribacillia	Bacteria	1
JK080L-4_S20	Desulfuribacillia	Bacteria	1
JK080L-8_S24	Desulfuribacillia	Bacteria	1
JK081L-1_S1	Desulfuribacillia	Bacteria	3
JK081L-13_S13	Desulfuribacillia	Bacteria	1
JK081L-2_S2	Desulfuribacillia	Bacteria	3
JK081L-4_S4	Desulfuribacillia	Bacteria	1
JK081L-8_S8	Desulfuribacillia	Bacteria	1
JK105L-6_S21	Desulfuribacillia	Bacteria	2
JK109L-4_S21	Desulfuribacillia	Bacteria	2
JK109L-4_S22	Desulfuribacillia	Bacteria	2
JK115L-2_S24	Desulfuribacillia	Bacteria	1
JK136L-2_S2	Desulfuribacillia	Bacteria	1
JK136L-3_S3	Desulfuribacillia	Bacteria	4
JK136L-4_S4	Desulfuribacillia	Bacteria	7
JK136L-5_S5	Desulfuribacillia	Bacteria	6
JK136L-6_S6	Desulfuribacillia	Bacteria	46
JK136L-7_S7	Desulfuribacillia	Bacteria	1
JK137L-1_S9	Desulfuribacillia	Bacteria	1
JK137L-2_S10	Desulfuribacillia	Bacteria	14
JK137L-3_S11	Desulfuribacillia	Bacteria	1
JK138L-2_S18	Desulfuribacillia	Bacteria	1
JK138L-6_S22	Desulfuribacillia	Bacteria	4
JoW001L-1_S1	Desulfuribacillia	Bacteria	9
JoW001L-2_S2	Desulfuribacillia	Bacteria	13
JoW001L-3_S3	Desulfuribacillia	Bacteria	32
JoW001L-4_S4	Desulfuribacillia	Bacteria	19
JoW001L-5_S5	Desulfuribacillia	Bacteria	5
JoW001L-6_S6	Desulfuribacillia	Bacteria	2
JoW002L-1_S9	Desulfuribacillia	Bacteria	5
JoW002L-4_S12	Desulfuribacillia	Bacteria	7
JoW002L-5_S13	Desulfuribacillia	Bacteria	43
JoW002L-6_S14	Desulfuribacillia	Bacteria	3
JoW003L-1_S17	Desulfuribacillia	Bacteria	1
JoW003L-2_S18	Desulfuribacillia	Bacteria	1
JoW003L-4_S20	Desulfuribacillia	Bacteria	3
JoW003L-5_S21	Desulfuribacillia	Bacteria	3
JoW003L-6_S22	Desulfuribacillia	Bacteria	1
JoW004L-1_S25	Desulfuribacillia	Bacteria	2
JoW004L-6_S30	Desulfuribacillia	Bacteria	1
JoW005L-1_S33	Desulfuribacillia	Bacteria	12
JoW005L-2_S34	Desulfuribacillia	Bacteria	56
JoW005L-3_S35	Desulfuribacillia	Bacteria	10
JoW005L-4_S36	Desulfuribacillia	Bacteria	20
JoW007L-2_S2	Desulfuribacillia	Bacteria	1
JoW007L-3_S3	Desulfuribacillia	Bacteria	2
JoW007L-4_S4	Desulfuribacillia	Bacteria	1
JoW007L-5_S5	Desulfuribacillia	Bacteria	26
JoW007L-6_S6	Desulfuribacillia	Bacteria	98
StB097L-01_S1	Desulfuribacillia	Bacteria	8
StB097L-02_S2	Desulfuribacillia	Bacteria	7
StB097L-03_S3	Desulfuribacillia	Bacteria	2
StB097L-04_S4	Desulfuribacillia	Bacteria	2
StB097L-05_S5	Desulfuribacillia	Bacteria	8
StB106L-02_S10	Desulfuribacillia	Bacteria	1
StB106L-04_S12	Desulfuribacillia	Bacteria	1
StB106L-05_S13	Desulfuribacillia	Bacteria	1
StB108L-01_S17	Desulfuribacillia	Bacteria	14
StB108L-02_S18	Desulfuribacillia	Bacteria	5
StB108L-03_S19	Desulfuribacillia	Bacteria	3
StB108L-05_S21	Desulfuribacillia	Bacteria	1
StB109L-01_S25	Desulfuribacillia	Bacteria	2
StB109L-05_S29	Desulfuribacillia	Bacteria	1
StB109L-06_S30	Desulfuribacillia	Bacteria	7
WJ192L-3_S30	Desulfuribacillia	Bacteria	2
WJ192L-5_S32	Desulfuribacillia	Bacteria	2
WJ194L-2_S22	Desulfuribacillia	Bacteria	1
WJ194L-4_S24	Desulfuribacillia	Bacteria	1
WJ194L-6_S26	Desulfuribacillia	Bacteria	1
WJ195L-5_S18	Desulfuribacillia	Bacteria	1
WJ196L-11_S11	Desulfuribacillia	Bacteria	1
WJ196L-13_S13	Desulfuribacillia	Bacteria	1
WJ196L-14_S14	Desulfuribacillia	Bacteria	1
WJ196L-6_S6	Desulfuribacillia	Bacteria	1
191011_SND405_A_L007_APMG-6-1	Desulfuromonadia	Bacteria	158
191011_SND405_A_L007_APMG-6-2	Desulfuromonadia	Bacteria	39
191011_SND405_A_L007_APMG-6-3	Desulfuromonadia	Bacteria	36
191011_SND405_A_L007_APMG-6-4	Desulfuromonadia	Bacteria	56
191011_SND405_A_L007_APMG-6-5	Desulfuromonadia	Bacteria	19
191011_SND405_A_L007_APMG-6-6	Desulfuromonadia	Bacteria	62
200313_A00902_A_L001_APMG-8-1	Desulfuromonadia	Bacteria	67
200313_A00902_A_L001_APMG-8-10	Desulfuromonadia	Bacteria	74
200313_A00902_A_L001_APMG-8-11	Desulfuromonadia	Bacteria	68
200313_A00902_A_L001_APMG-8-12	Desulfuromonadia	Bacteria	94
200313_A00902_A_L001_APMG-8-2	Desulfuromonadia	Bacteria	53
200313_A00902_A_L001_APMG-8-3	Desulfuromonadia	Bacteria	78
200313_A00902_A_L001_APMG-8-4	Desulfuromonadia	Bacteria	125
200313_A00902_A_L001_APMG-8-5	Desulfuromonadia	Bacteria	97
200313_A00902_A_L001_APMG-8-6	Desulfuromonadia	Bacteria	57
200313_A00902_A_L001_APMG-8-8	Desulfuromonadia	Bacteria	53
200313_A00902_A_L001_APMG-8-9	Desulfuromonadia	Bacteria	48
200313_A00902_A_L002_APMG-9-1	Desulfuromonadia	Bacteria	82
200313_A00902_A_L002_APMG-9-10	Desulfuromonadia	Bacteria	205
200313_A00902_A_L002_APMG-9-11	Desulfuromonadia	Bacteria	161
200313_A00902_A_L002_APMG-9-2	Desulfuromonadia	Bacteria	446
200313_A00902_A_L002_APMG-9-3	Desulfuromonadia	Bacteria	77
200313_A00902_A_L002_APMG-9-5	Desulfuromonadia	Bacteria	154
200313_A00902_A_L002_APMG-9-6	Desulfuromonadia	Bacteria	186
200313_A00902_A_L002_APMG-9-7	Desulfuromonadia	Bacteria	157
200313_A00902_A_L002_APMG-9-8	Desulfuromonadia	Bacteria	108
200313_A00902_A_L002_APMG-9-9	Desulfuromonadia	Bacteria	161
201118_A00902_B_L1-2_APMG_19_1	Desulfuromonadia	Bacteria	1387
201118_A00902_B_L1-2_APMG_19_10	Desulfuromonadia	Bacteria	328
201118_A00902_B_L1-2_APMG_19_11	Desulfuromonadia	Bacteria	515
201118_A00902_B_L1-2_APMG_19_12	Desulfuromonadia	Bacteria	624
201118_A00902_B_L1-2_APMG_19_13	Desulfuromonadia	Bacteria	646
201118_A00902_B_L1-2_APMG_19_14	Desulfuromonadia	Bacteria	395
201118_A00902_B_L1-2_APMG_19_15	Desulfuromonadia	Bacteria	877
201118_A00902_B_L1-2_APMG_19_16	Desulfuromonadia	Bacteria	1529
201118_A00902_B_L1-2_APMG_19_17	Desulfuromonadia	Bacteria	2468
201118_A00902_B_L1-2_APMG_19_2	Desulfuromonadia	Bacteria	1717
201118_A00902_B_L1-2_APMG_19_21	Desulfuromonadia	Bacteria	3
201118_A00902_B_L1-2_APMG_19_3	Desulfuromonadia	Bacteria	642
201118_A00902_B_L1-2_APMG_19_4	Desulfuromonadia	Bacteria	1
201118_A00902_B_L1-2_APMG_19_5	Desulfuromonadia	Bacteria	246
201118_A00902_B_L1-2_APMG_19_6	Desulfuromonadia	Bacteria	462
201118_A00902_B_L1-2_APMG_19_7	Desulfuromonadia	Bacteria	282
201118_A00902_B_L1-2_APMG_19_8	Desulfuromonadia	Bacteria	512
201118_A00902_B_L1-2_APMG_19_9	Desulfuromonadia	Bacteria	442
210810_A00902_B_L001_APMG-37-1	Desulfuromonadia	Bacteria	131
210810_A00902_B_L001_APMG-37-10	Desulfuromonadia	Bacteria	365
210810_A00902_B_L001_APMG-37-11	Desulfuromonadia	Bacteria	184
210810_A00902_B_L001_APMG-37-2	Desulfuromonadia	Bacteria	129
210810_A00902_B_L001_APMG-37-3	Desulfuromonadia	Bacteria	98
210810_A00902_B_L001_APMG-37-4	Desulfuromonadia	Bacteria	194
210810_A00902_B_L001_APMG-37-6	Desulfuromonadia	Bacteria	131
