sample	phylum	superkingdom	taxonReads
IE111L-3_S3	Discosea	Eukaryota	13
IE111L-4_S1	Discosea	Eukaryota	8
IE111L-5_S5	Discosea	Eukaryota	6
IE111L-6_S6	Discosea	Eukaryota	8
IE111L-7_S7	Discosea	Eukaryota	7
IE112L-1_S9	Discosea	Eukaryota	3
IE112L-2_S10	Discosea	Eukaryota	692
IE112L-3_S11	Discosea	Eukaryota	2783
IE112L-4_S17	Discosea	Eukaryota	12
IE112L-5_S18	Discosea	Eukaryota	9
IE112L-6_S19	Discosea	Eukaryota	5
IE112L-7_S12	Discosea	Eukaryota	250
IE113L-1_S13	Discosea	Eukaryota	8
IE113L-2_S14	Discosea	Eukaryota	10
IE113L-3_S3	Discosea	Eukaryota	9
IE113L-4_S4	Discosea	Eukaryota	28
IE113L-5_S5	Discosea	Eukaryota	7
IE113L-6_S6	Discosea	Eukaryota	58
IE113L-7_S7	Discosea	Eukaryota	9
IE114L-1_S9	Discosea	Eukaryota	9
IE114L-2_S10	Discosea	Eukaryota	9
IE114L-3_S11	Discosea	Eukaryota	8
IE115L-3_S19	Discosea	Eukaryota	1
JK079L-1_S1	Discosea	Eukaryota	176
JK079L-10-WDH_S10	Discosea	Eukaryota	1317
JK079L-11-WDH_S11	Discosea	Eukaryota	1371
JK079L-12-WDH_S12	Discosea	Eukaryota	789
JK079L-13-WDH_S13	Discosea	Eukaryota	937
JK079L-14-WDH_S14	Discosea	Eukaryota	2317
JK079L-2_S2	Discosea	Eukaryota	711
JK079L-3_S3	Discosea	Eukaryota	947
JK079L-4_S4	Discosea	Eukaryota	1146
JK079L-5_S5	Discosea	Eukaryota	1807
JK079L-6-WDH_S6	Discosea	Eukaryota	20
JK079L-7-WDH_S7	Discosea	Eukaryota	961
JK079L-8_S8	Discosea	Eukaryota	3670
JK079L-9_S9	Discosea	Eukaryota	2243
JK080L-1_S17	Discosea	Eukaryota	534
JK080L-10_S26	Discosea	Eukaryota	1
JK080L-11_S27	Discosea	Eukaryota	6
JK080L-12_S28	Discosea	Eukaryota	1
JK080L-14_S30	Discosea	Eukaryota	1
JK080L-2_S18	Discosea	Eukaryota	1195
JK080L-3_S19	Discosea	Eukaryota	2089
JK080L-4_S20	Discosea	Eukaryota	10057
JK080L-6_S22	Discosea	Eukaryota	1992
JK080L-7_S23	Discosea	Eukaryota	28
JK080L-8_S24	Discosea	Eukaryota	2
JK080L-9_S25	Discosea	Eukaryota	2
JK081L-1_S1	Discosea	Eukaryota	112
JK081L-11_S11	Discosea	Eukaryota	156
JK081L-12_S12	Discosea	Eukaryota	7057
JK081L-13_S13	Discosea	Eukaryota	1
JK081L-2_S2	Discosea	Eukaryota	23033
JK081L-3_S3	Discosea	Eukaryota	599
JK081L-4_S4	Discosea	Eukaryota	7
JK081L-6_S6	Discosea	Eukaryota	5
JK081L-7_S7	Discosea	Eukaryota	2235
JK081L-8_S8	Discosea	Eukaryota	509
JK081L-9_S9	Discosea	Eukaryota	404
JK105L-6_S21	Discosea	Eukaryota	29
JK109L-4_S21	Discosea	Eukaryota	4791
JK109L-4_S22	Discosea	Eukaryota	8429
JK109L-5_S30	Discosea	Eukaryota	23
JK109L-6_S31	Discosea	Eukaryota	8
JK115L-2_S24	Discosea	Eukaryota	63
JK115L-4_S23	Discosea	Eukaryota	126
JK136L-2_S2	Discosea	Eukaryota	4
JK136L-3_S3	Discosea	Eukaryota	2
JK136L-4_S4	Discosea	Eukaryota	1
JK136L-6_S6	Discosea	Eukaryota	1
JK136L-7_S7	Discosea	Eukaryota	2
JK137L-1_S9	Discosea	Eukaryota	1
JK137L-2_S10	Discosea	Eukaryota	1
JK137L-3_S11	Discosea	Eukaryota	3
JK137L-4_S12	Discosea	Eukaryota	5
JK137L-5_S13	Discosea	Eukaryota	4
JK137L-6_S14	Discosea	Eukaryota	7
JK137L-7_S15	Discosea	Eukaryota	7
JK138L-1_S17	Discosea	Eukaryota	5
JK138L-2_S18	Discosea	Eukaryota	6
JK138L-3_S19	Discosea	Eukaryota	9
JK138L-4_S20	Discosea	Eukaryota	10
JK138L-6_S22	Discosea	Eukaryota	3
JK138L-7_S23	Discosea	Eukaryota	2
JoW001L-1_S1	Discosea	Eukaryota	7
JoW001L-3_S3	Discosea	Eukaryota	3
JoW001L-4_S4	Discosea	Eukaryota	2
JoW001L-5_S5	Discosea	Eukaryota	5
JoW001L-6_S6	Discosea	Eukaryota	3
JoW002L-1_S9	Discosea	Eukaryota	2
JoW002L-2_S10	Discosea	Eukaryota	4
JoW002L-4_S12	Discosea	Eukaryota	2
JoW002L-5_S13	Discosea	Eukaryota	1
JoW002L-6_S14	Discosea	Eukaryota	3
JoW003L-1_S17	Discosea	Eukaryota	6
JoW003L-3_S19	Discosea	Eukaryota	2
JoW003L-4_S20	Discosea	Eukaryota	6
JoW003L-5_S21	Discosea	Eukaryota	2
JoW003L-6_S22	Discosea	Eukaryota	1
JoW004L-4_S28	Discosea	Eukaryota	3
JoW004L-5_S29	Discosea	Eukaryota	3
JoW004L-6_S30	Discosea	Eukaryota	2
JoW005L-1_S33	Discosea	Eukaryota	2
JoW005L-2_S34	Discosea	Eukaryota	4
JoW005L-3_S35	Discosea	Eukaryota	19
JoW005L-4_S36	Discosea	Eukaryota	20
JoW007L-2_S2	Discosea	Eukaryota	8
JoW007L-3_S3	Discosea	Eukaryota	2
JoW007L-4_S4	Discosea	Eukaryota	2
JoW007L-5_S5	Discosea	Eukaryota	1
JoW007L-6_S6	Discosea	Eukaryota	1
StB097L-02_S2	Discosea	Eukaryota	1
StB097L-03_S3	Discosea	Eukaryota	6
StB097L-04_S4	Discosea	Eukaryota	4
StB097L-05_S5	Discosea	Eukaryota	7
StB097L-06_S6	Discosea	Eukaryota	7
StB106L-01_S9	Discosea	Eukaryota	33
StB106L-02_S10	Discosea	Eukaryota	3
StB106L-04_S12	Discosea	Eukaryota	3
StB106L-05_S13	Discosea	Eukaryota	1
StB108L-01_S17	Discosea	Eukaryota	4
StB108L-02_S18	Discosea	Eukaryota	3
StB108L-05_S21	Discosea	Eukaryota	4
StB108L-06_S22	Discosea	Eukaryota	1
StB108L-07_S23	Discosea	Eukaryota	2
StB109L-01_S25	Discosea	Eukaryota	9
StB109L-02_S26	Discosea	Eukaryota	11
StB109L-04_S28	Discosea	Eukaryota	14
StB109L-05_S29	Discosea	Eukaryota	8
StB109L-06_S30	Discosea	Eukaryota	2
WJ192L-1_S29	Discosea	Eukaryota	1
WJ192L-3_S30	Discosea	Eukaryota	1
WJ192L-4_S31	Discosea	Eukaryota	4
WJ192L-5_S32	Discosea	Eukaryota	4
WJ194L-2_S22	Discosea	Eukaryota	2
WJ194L-3_S23	Discosea	Eukaryota	1
WJ194L-4_S24	Discosea	Eukaryota	2
WJ194L-5_S25	Discosea	Eukaryota	1
WJ194L-6_S26	Discosea	Eukaryota	1
WJ195L-1_S17	Discosea	Eukaryota	3
WJ196L-10_S10	Discosea	Eukaryota	8
WJ196L-11_S11	Discosea	Eukaryota	6
WJ196L-12_S12	Discosea	Eukaryota	3
WJ196L-13_S13	Discosea	Eukaryota	1
WJ196L-14_S14	Discosea	Eukaryota	7
WJ196L-15_S15	Discosea	Eukaryota	4
WJ196L-4_S4	Discosea	Eukaryota	1
WJ196L-6_S6	Discosea	Eukaryota	1
WJ196L-8_S8	Discosea	Eukaryota	3
WJ196L-9_S9	Discosea	Eukaryota	5
191011_SND405_A_L007_APMG-6-1	Euglenozoa	Eukaryota	8
191011_SND405_A_L007_APMG-6-2	Euglenozoa	Eukaryota	7
191011_SND405_A_L007_APMG-6-3	Euglenozoa	Eukaryota	6
191011_SND405_A_L007_APMG-6-4	Euglenozoa	Eukaryota	9
191011_SND405_A_L007_APMG-6-5	Euglenozoa	Eukaryota	1
191011_SND405_A_L007_APMG-6-6	Euglenozoa	Eukaryota	2
200313_A00902_A_L001_APMG-8-1	Euglenozoa	Eukaryota	19
200313_A00902_A_L001_APMG-8-10	Euglenozoa	Eukaryota	5
200313_A00902_A_L001_APMG-8-11	Euglenozoa	Eukaryota	11
200313_A00902_A_L001_APMG-8-12	Euglenozoa	Eukaryota	6
200313_A00902_A_L001_APMG-8-2	Euglenozoa	Eukaryota	9
200313_A00902_A_L001_APMG-8-3	Euglenozoa	Eukaryota	18
200313_A00902_A_L001_APMG-8-4	Euglenozoa	Eukaryota	30
200313_A00902_A_L001_APMG-8-5	Euglenozoa	Eukaryota	19
200313_A00902_A_L001_APMG-8-6	Euglenozoa	Eukaryota	9
200313_A00902_A_L001_APMG-8-8	Euglenozoa	Eukaryota	2
200313_A00902_A_L001_APMG-8-9	Euglenozoa	Eukaryota	7
200313_A00902_A_L002_APMG-9-1	Euglenozoa	Eukaryota	2
200313_A00902_A_L002_APMG-9-10	Euglenozoa	Eukaryota	8
200313_A00902_A_L002_APMG-9-11	Euglenozoa	Eukaryota	6
200313_A00902_A_L002_APMG-9-2	Euglenozoa	Eukaryota	2
200313_A00902_A_L002_APMG-9-3	Euglenozoa	Eukaryota	4
200313_A00902_A_L002_APMG-9-5	Euglenozoa	Eukaryota	4
200313_A00902_A_L002_APMG-9-6	Euglenozoa	Eukaryota	2
200313_A00902_A_L002_APMG-9-7	Euglenozoa	Eukaryota	3
200313_A00902_A_L002_APMG-9-8	Euglenozoa	Eukaryota	6
200313_A00902_A_L002_APMG-9-9	Euglenozoa	Eukaryota	3
201118_A00902_B_L1-2_APMG_19_1	Euglenozoa	Eukaryota	6
201118_A00902_B_L1-2_APMG_19_10	Euglenozoa	Eukaryota	2
201118_A00902_B_L1-2_APMG_19_11	Euglenozoa	Eukaryota	6
201118_A00902_B_L1-2_APMG_19_12	Euglenozoa	Eukaryota	17
201118_A00902_B_L1-2_APMG_19_13	Euglenozoa	Eukaryota	7
201118_A00902_B_L1-2_APMG_19_14	Euglenozoa	Eukaryota	8
201118_A00902_B_L1-2_APMG_19_15	Euglenozoa	Eukaryota	27
201118_A00902_B_L1-2_APMG_19_16	Euglenozoa	Eukaryota	25
201118_A00902_B_L1-2_APMG_19_17	Euglenozoa	Eukaryota	6
201118_A00902_B_L1-2_APMG_19_2	Euglenozoa	Eukaryota	12
201118_A00902_B_L1-2_APMG_19_3	Euglenozoa	Eukaryota	7
201118_A00902_B_L1-2_APMG_19_4	Euglenozoa	Eukaryota	1
201118_A00902_B_L1-2_APMG_19_5	Euglenozoa	Eukaryota	8
201118_A00902_B_L1-2_APMG_19_6	Euglenozoa	Eukaryota	2
201118_A00902_B_L1-2_APMG_19_7	Euglenozoa	Eukaryota	1
201118_A00902_B_L1-2_APMG_19_8	Euglenozoa	Eukaryota	1
201118_A00902_B_L1-2_APMG_19_9	Euglenozoa	Eukaryota	3
210810_A00902_B_L001_APMG-37-1	Euglenozoa	Eukaryota	3
210810_A00902_B_L001_APMG-37-10	Euglenozoa	Eukaryota	3
210810_A00902_B_L001_APMG-37-11	Euglenozoa	Eukaryota	5
210810_A00902_B_L001_APMG-37-15	Euglenozoa	Eukaryota	1
210810_A00902_B_L001_APMG-37-2	Euglenozoa	Eukaryota	7
210810_A00902_B_L001_APMG-37-4	Euglenozoa	Eukaryota	4
210810_A00902_B_L001_APMG-37-6	Euglenozoa	Eukaryota	2
210810_A00902_B_L001_APMG-37-7	Euglenozoa	Eukaryota	5
210810_A00902_B_L001_APMG-37-8	Euglenozoa	Eukaryota	3
210810_A00902_B_L001_APMG-37-9	Euglenozoa	Eukaryota	7
210810_A00902_B_L002_APMG-38-1	Euglenozoa	Eukaryota	3
210810_A00902_B_L002_APMG-38-10	Euglenozoa	Eukaryota	5
210810_A00902_B_L002_APMG-38-15	Euglenozoa	Eukaryota	2
210810_A00902_B_L002_APMG-38-2	Euglenozoa	Eukaryota	2
210810_A00902_B_L002_APMG-38-3	Euglenozoa	Eukaryota	5
210810_A00902_B_L002_APMG-38-4	Euglenozoa	Eukaryota	5
210810_A00902_B_L002_APMG-38-5	Euglenozoa	Eukaryota	5
210810_A00902_B_L002_APMG-38-7	Euglenozoa	Eukaryota	9
210810_A00902_B_L002_APMG-38-8	Euglenozoa	Eukaryota	4
210810_A00902_B_L002_APMG-38-9	Euglenozoa	Eukaryota	3
BH193L-1_S22	Euglenozoa	Eukaryota	1
BH193L-2_S19	Euglenozoa	Eukaryota	6
BH193L-2_S20	Euglenozoa	Eukaryota	2
BH193L-3_S20	Euglenozoa	Eukaryota	6
BH193L-4_S23	Euglenozoa	Eukaryota	5
BH193L-5_S24	Euglenozoa	Eukaryota	3
BH194L-1_S25	Euglenozoa	Eukaryota	8
BH194L-2_S26	Euglenozoa	Eukaryota	3
BH194L-3_S25	Euglenozoa	Eukaryota	2
BH194L-4_S16	Euglenozoa	Eukaryota	4
BH194L-4_S17	Euglenozoa	Eukaryota	3
BH194L-6_S26	Euglenozoa	Eukaryota	2
BH194L-7_S17	Euglenozoa	Eukaryota	8
BH194L-7_S18	Euglenozoa	Eukaryota	1
BH195L-1_S27	Euglenozoa	Eukaryota	3
BH195L-2_S18	Euglenozoa	Eukaryota	6
BH195L-2_S19	Euglenozoa	Eukaryota	3
BH195L-3_S28	Euglenozoa	Eukaryota	8
BH195L-4_S29	Euglenozoa	Eukaryota	3
ELS162S7	Euglenozoa	Eukaryota	11
ELS163S8	Euglenozoa	Eukaryota	12
ELS165S9	Euglenozoa	Eukaryota	20
ELS167S10	Euglenozoa	Eukaryota	25
IE111L-1_S1	Euglenozoa	Eukaryota	7
IE111L-2_S2	Euglenozoa	Eukaryota	24
IE111L-3_S3	Euglenozoa	Eukaryota	28
IE111L-4_S1	Euglenozoa	Eukaryota	14
IE111L-5_S5	Euglenozoa	Eukaryota	23
IE111L-6_S6	Euglenozoa	Eukaryota	11
IE111L-7_S7	Euglenozoa	Eukaryota	14
IE112L-1_S9	Euglenozoa	Eukaryota	13
IE112L-2_S10	Euglenozoa	Eukaryota	9
IE112L-3_S11	Euglenozoa	Eukaryota	11
IE112L-4_S17	Euglenozoa	Eukaryota	21
IE112L-5_S18	Euglenozoa	Eukaryota	14
IE112L-6_S19	Euglenozoa	Eukaryota	16
IE112L-7_S12	Euglenozoa	Eukaryota	47
IE113L-1_S13	Euglenozoa	Eukaryota	32
IE113L-2_S14	Euglenozoa	Eukaryota	20
IE113L-3_S3	Euglenozoa	Eukaryota	20
IE113L-4_S4	Euglenozoa	Eukaryota	93
IE113L-5_S5	Euglenozoa	Eukaryota	20
IE113L-6_S6	Euglenozoa	Eukaryota	19
IE113L-7_S7	Euglenozoa	Eukaryota	25
IE114L-1_S9	Euglenozoa	Eukaryota	11
IE114L-2_S10	Euglenozoa	Eukaryota	21
IE114L-3_S11	Euglenozoa	Eukaryota	27
JK079L-1_S1	Euglenozoa	Eukaryota	3
JK079L-10-WDH_S10	Euglenozoa	Eukaryota	7
JK079L-11-WDH_S11	Euglenozoa	Eukaryota	4
JK079L-12-WDH_S12	Euglenozoa	Eukaryota	7
JK079L-13-WDH_S13	Euglenozoa	Eukaryota	5
JK079L-14-WDH_S14	Euglenozoa	Eukaryota	6
JK079L-2_S2	Euglenozoa	Eukaryota	2
JK079L-3_S3	Euglenozoa	Eukaryota	7
JK079L-4_S4	Euglenozoa	Eukaryota	2
JK079L-5_S5	Euglenozoa	Eukaryota	11
JK079L-6-WDH_S6	Euglenozoa	Eukaryota	6
JK079L-7-WDH_S7	Euglenozoa	Eukaryota	6
JK079L-8_S8	Euglenozoa	Eukaryota	1
JK079L-9_S9	Euglenozoa	Eukaryota	3
JK080L-1_S17	Euglenozoa	Eukaryota	3
JK080L-10_S26	Euglenozoa	Eukaryota	1
JK080L-11_S27	Euglenozoa	Eukaryota	33
JK080L-12_S28	Euglenozoa	Eukaryota	7
JK080L-13_S29	Euglenozoa	Eukaryota	6
JK080L-14_S30	Euglenozoa	Eukaryota	2
JK080L-2_S18	Euglenozoa	Eukaryota	5
JK080L-4_S20	Euglenozoa	Eukaryota	3
JK080L-7_S23	Euglenozoa	Eukaryota	2
JK080L-8_S24	Euglenozoa	Eukaryota	2
JK080L-9_S25	Euglenozoa	Eukaryota	5
JK081L-1_S1	Euglenozoa	Eukaryota	4
JK081L-11_S11	Euglenozoa	Eukaryota	10
JK081L-12_S12	Euglenozoa	Eukaryota	13
JK081L-13_S13	Euglenozoa	Eukaryota	6
JK081L-2_S2	Euglenozoa	Eukaryota	13
JK081L-3_S3	Euglenozoa	Eukaryota	7
JK081L-4_S4	Euglenozoa	Eukaryota	9
JK081L-6_S6	Euglenozoa	Eukaryota	14
JK081L-7_S7	Euglenozoa	Eukaryota	6
JK081L-8_S8	Euglenozoa	Eukaryota	10
JK081L-9_S9	Euglenozoa	Eukaryota	14
JK105L-6_S21	Euglenozoa	Eukaryota	18
JK109L-4_S21	Euglenozoa	Eukaryota	9
JK109L-4_S22	Euglenozoa	Eukaryota	11
JK109L-5_S30	Euglenozoa	Eukaryota	1
JK109L-6_S31	Euglenozoa	Eukaryota	4
JK115L-2_S24	Euglenozoa	Eukaryota	10
JK115L-4_S23	Euglenozoa	Eukaryota	11
JK136L-2_S2	Euglenozoa	Eukaryota	7
JK136L-3_S3	Euglenozoa	Eukaryota	11
JK136L-4_S4	Euglenozoa	Eukaryota	12
JK136L-5_S5	Euglenozoa	Eukaryota	25
JK136L-6_S6	Euglenozoa	Eukaryota	1
JK136L-7_S7	Euglenozoa	Eukaryota	15
JK137L-1_S9	Euglenozoa	Eukaryota	6
JK137L-2_S10	Euglenozoa	Eukaryota	3
JK137L-3_S11	Euglenozoa	Eukaryota	10
JK137L-4_S12	Euglenozoa	Eukaryota	12
JK137L-5_S13	Euglenozoa	Eukaryota	13
JK137L-6_S14	Euglenozoa	Eukaryota	20
JK137L-7_S15	Euglenozoa	Eukaryota	18
JK138L-1_S17	Euglenozoa	Eukaryota	22
JK138L-2_S18	Euglenozoa	Eukaryota	25
JK138L-3_S19	Euglenozoa	Eukaryota	29
JK138L-4_S20	Euglenozoa	Eukaryota	45
JK138L-6_S22	Euglenozoa	Eukaryota	24
JK138L-7_S23	Euglenozoa	Eukaryota	7
JoW001L-1_S1	Euglenozoa	Eukaryota	3
JoW001L-2_S2	Euglenozoa	Eukaryota	4
JoW001L-3_S3	Euglenozoa	Eukaryota	15
JoW001L-4_S4	Euglenozoa	Eukaryota	1
JoW001L-5_S5	Euglenozoa	Eukaryota	21
JoW001L-6_S6	Euglenozoa	Eukaryota	4
JoW002L-1_S9	Euglenozoa	Eukaryota	1
JoW002L-2_S10	Euglenozoa	Eukaryota	5
JoW002L-4_S12	Euglenozoa	Eukaryota	8
JoW002L-5_S13	Euglenozoa	Eukaryota	14
JoW002L-6_S14	Euglenozoa	Eukaryota	10
JoW003L-1_S17	Euglenozoa	Eukaryota	8
JoW003L-2_S18	Euglenozoa	Eukaryota	6
JoW003L-3_S19	Euglenozoa	Eukaryota	1
JoW003L-4_S20	Euglenozoa	Eukaryota	2
JoW003L-5_S21	Euglenozoa	Eukaryota	2
JoW003L-6_S22	Euglenozoa	Eukaryota	6
JoW004L-1_S25	Euglenozoa	Eukaryota	1
JoW004L-2_S26	Euglenozoa	Eukaryota	1
JoW004L-3_S27	Euglenozoa	Eukaryota	4
JoW004L-4_S28	Euglenozoa	Eukaryota	4
JoW004L-5_S29	Euglenozoa	Eukaryota	30
JoW004L-6_S30	Euglenozoa	Eukaryota	5
JoW005L-1_S33	Euglenozoa	Eukaryota	10
JoW005L-2_S34	Euglenozoa	Eukaryota	14
JoW005L-3_S35	Euglenozoa	Eukaryota	30
JoW005L-4_S36	Euglenozoa	Eukaryota	34
JoW007L-1_S1	Euglenozoa	Eukaryota	3
JoW007L-2_S2	Euglenozoa	Eukaryota	9
JoW007L-3_S3	Euglenozoa	Eukaryota	6
JoW007L-4_S4	Euglenozoa	Eukaryota	10
JoW007L-5_S5	Euglenozoa	Eukaryota	4
JoW007L-6_S6	Euglenozoa	Eukaryota	3
StB097L-01_S1	Euglenozoa	Eukaryota	13
StB097L-02_S2	Euglenozoa	Eukaryota	12
StB097L-03_S3	Euglenozoa	Eukaryota	18
StB097L-04_S4	Euglenozoa	Eukaryota	9
StB097L-05_S5	Euglenozoa	Eukaryota	34
StB097L-06_S6	Euglenozoa	Eukaryota	8
StB106L-01_S9	Euglenozoa	Eukaryota	9
StB106L-02_S10	Euglenozoa	Eukaryota	8
StB106L-04_S12	Euglenozoa	Eukaryota	21
StB106L-05_S13	Euglenozoa	Eukaryota	21
StB108L-01_S17	Euglenozoa	Eukaryota	13
StB108L-02_S18	Euglenozoa	Eukaryota	10
StB108L-03_S19	Euglenozoa	Eukaryota	8
StB108L-05_S21	Euglenozoa	Eukaryota	7
StB108L-07_S23	Euglenozoa	Eukaryota	10
StB109L-01_S25	Euglenozoa	Eukaryota	30
StB109L-02_S26	Euglenozoa	Eukaryota	54
StB109L-04_S28	Euglenozoa	Eukaryota	31
StB109L-05_S29	Euglenozoa	Eukaryota	22
StB109L-06_S30	Euglenozoa	Eukaryota	11
WJ192L-1_S29	Euglenozoa	Eukaryota	11
WJ192L-3_S30	Euglenozoa	Eukaryota	1
WJ192L-4_S31	Euglenozoa	Eukaryota	6
WJ192L-5_S32	Euglenozoa	Eukaryota	13
WJ194L-2_S22	Euglenozoa	Eukaryota	112
WJ194L-3_S23	Euglenozoa	Eukaryota	1
WJ194L-4_S24	Euglenozoa	Eukaryota	4
WJ194L-5_S25	Euglenozoa	Eukaryota	5
WJ194L-6_S26	Euglenozoa	Eukaryota	2
WJ195L-1_S17	Euglenozoa	Eukaryota	2
WJ195L-5_S18	Euglenozoa	Eukaryota	1
WJ196L-10_S10	Euglenozoa	Eukaryota	4
WJ196L-11_S11	Euglenozoa	Eukaryota	9
WJ196L-12_S12	Euglenozoa	Eukaryota	5
WJ196L-13_S13	Euglenozoa	Eukaryota	3
WJ196L-14_S14	Euglenozoa	Eukaryota	2
WJ196L-15_S15	Euglenozoa	Eukaryota	4
WJ196L-2_S2	Euglenozoa	Eukaryota	1
WJ196L-4_S4	Euglenozoa	Eukaryota	2
WJ196L-5_S5	Euglenozoa	Eukaryota	1
WJ196L-6_S6	Euglenozoa	Eukaryota	5
WJ196L-7_S7	Euglenozoa	Eukaryota	4
WJ196L-9_S9	Euglenozoa	Eukaryota	10
191011_SND405_A_L007_APMG-6-1	Haptophyta	Eukaryota	71
191011_SND405_A_L007_APMG-6-2	Haptophyta	Eukaryota	109
191011_SND405_A_L007_APMG-6-3	Haptophyta	Eukaryota	114
191011_SND405_A_L007_APMG-6-4	Haptophyta	Eukaryota	122
191011_SND405_A_L007_APMG-6-5	Haptophyta	Eukaryota	5
191011_SND405_A_L007_APMG-6-6	Haptophyta	Eukaryota	44
200313_A00902_A_L001_APMG-8-1	Haptophyta	Eukaryota	242
200313_A00902_A_L001_APMG-8-10	Haptophyta	Eukaryota	242
200313_A00902_A_L001_APMG-8-11	Haptophyta	Eukaryota	157
200313_A00902_A_L001_APMG-8-12	Haptophyta	Eukaryota	272
200313_A00902_A_L001_APMG-8-2	Haptophyta	Eukaryota	160
200313_A00902_A_L001_APMG-8-3	Haptophyta	Eukaryota	217
200313_A00902_A_L001_APMG-8-4	Haptophyta	Eukaryota	762
200313_A00902_A_L001_APMG-8-5	Haptophyta	Eukaryota	529
200313_A00902_A_L001_APMG-8-6	Haptophyta	Eukaryota	91
200313_A00902_A_L001_APMG-8-8	Haptophyta	Eukaryota	31
200313_A00902_A_L001_APMG-8-9	Haptophyta	Eukaryota	47
200313_A00902_A_L002_APMG-9-1	Haptophyta	Eukaryota	184
200313_A00902_A_L002_APMG-9-10	Haptophyta	Eukaryota	41
200313_A00902_A_L002_APMG-9-11	Haptophyta	Eukaryota	26
200313_A00902_A_L002_APMG-9-2	Haptophyta	Eukaryota	108
200313_A00902_A_L002_APMG-9-3	Haptophyta	Eukaryota	85
200313_A00902_A_L002_APMG-9-5	Haptophyta	Eukaryota	78
200313_A00902_A_L002_APMG-9-6	Haptophyta	Eukaryota	66
200313_A00902_A_L002_APMG-9-7	Haptophyta	Eukaryota	71
200313_A00902_A_L002_APMG-9-8	Haptophyta	Eukaryota	100
200313_A00902_A_L002_APMG-9-9	Haptophyta	Eukaryota	46
201118_A00902_B_L1-2_APMG_19_1	Haptophyta	Eukaryota	22
201118_A00902_B_L1-2_APMG_19_10	Haptophyta	Eukaryota	17
201118_A00902_B_L1-2_APMG_19_11	Haptophyta	Eukaryota	25
201118_A00902_B_L1-2_APMG_19_12	Haptophyta	Eukaryota	32
201118_A00902_B_L1-2_APMG_19_13	Haptophyta	Eukaryota	18
201118_A00902_B_L1-2_APMG_19_14	Haptophyta	Eukaryota	9
201118_A00902_B_L1-2_APMG_19_15	Haptophyta	Eukaryota	16
201118_A00902_B_L1-2_APMG_19_16	Haptophyta	Eukaryota	133
201118_A00902_B_L1-2_APMG_19_17	Haptophyta	Eukaryota	14
201118_A00902_B_L1-2_APMG_19_2	Haptophyta	Eukaryota	10
201118_A00902_B_L1-2_APMG_19_3	Haptophyta	Eukaryota	13
201118_A00902_B_L1-2_APMG_19_5	Haptophyta	Eukaryota	24
201118_A00902_B_L1-2_APMG_19_6	Haptophyta	Eukaryota	6
201118_A00902_B_L1-2_APMG_19_7	Haptophyta	Eukaryota	12
201118_A00902_B_L1-2_APMG_19_8	Haptophyta	Eukaryota	25
201118_A00902_B_L1-2_APMG_19_9	Haptophyta	Eukaryota	17
210810_A00902_B_L001_APMG-37-1	Haptophyta	Eukaryota	9
210810_A00902_B_L001_APMG-37-10	Haptophyta	Eukaryota	20
210810_A00902_B_L001_APMG-37-11	Haptophyta	Eukaryota	3
210810_A00902_B_L001_APMG-37-2	Haptophyta	Eukaryota	30
210810_A00902_B_L001_APMG-37-3	Haptophyta	Eukaryota	15
210810_A00902_B_L001_APMG-37-4	Haptophyta	Eukaryota	4
210810_A00902_B_L001_APMG-37-6	Haptophyta	Eukaryota	2
210810_A00902_B_L001_APMG-37-7	Haptophyta	Eukaryota	4
210810_A00902_B_L001_APMG-37-8	Haptophyta	Eukaryota	1
210810_A00902_B_L001_APMG-37-9	Haptophyta	Eukaryota	5
210810_A00902_B_L002_APMG-38-1	Haptophyta	Eukaryota	4
210810_A00902_B_L002_APMG-38-10	Haptophyta	Eukaryota	18
210810_A00902_B_L002_APMG-38-15	Haptophyta	Eukaryota	1
210810_A00902_B_L002_APMG-38-2	Haptophyta	Eukaryota	4
210810_A00902_B_L002_APMG-38-3	Haptophyta	Eukaryota	6
210810_A00902_B_L002_APMG-38-4	Haptophyta	Eukaryota	13
210810_A00902_B_L002_APMG-38-5	Haptophyta	Eukaryota	13
210810_A00902_B_L002_APMG-38-7	Haptophyta	Eukaryota	5
210810_A00902_B_L002_APMG-38-8	Haptophyta	Eukaryota	11
210810_A00902_B_L002_APMG-38-9	Haptophyta	Eukaryota	12
BH193L-1_S22	Haptophyta	Eukaryota	7
BH193L-2_S19	Haptophyta	Eukaryota	16
BH193L-2_S20	Haptophyta	Eukaryota	5
BH193L-3_S20	Haptophyta	Eukaryota	25
BH193L-4_S23	Haptophyta	Eukaryota	29
BH193L-5_S24	Haptophyta	Eukaryota	6
BH194L-1_S25	Haptophyta	Eukaryota	3
BH194L-2_S26	Haptophyta	Eukaryota	3
BH194L-3_S25	Haptophyta	Eukaryota	3
BH194L-4_S16	Haptophyta	Eukaryota	6
BH194L-4_S17	Haptophyta	Eukaryota	5
BH194L-6_S26	Haptophyta	Eukaryota	5
BH194L-7_S17	Haptophyta	Eukaryota	14
BH194L-7_S18	Haptophyta	Eukaryota	9
BH195L-1_S27	Haptophyta	Eukaryota	6
BH195L-2_S18	Haptophyta	Eukaryota	15
BH195L-2_S19	Haptophyta	Eukaryota	14
BH195L-3_S28	Haptophyta	Eukaryota	12
BH195L-4_S29	Haptophyta	Eukaryota	9
