sample	phylum	superkingdom	taxonReads
JK136L-3_S3	Arthropoda	Eukaryota	122
JK136L-4_S4	Arthropoda	Eukaryota	140
JK136L-5_S5	Arthropoda	Eukaryota	88
JK136L-6_S6	Arthropoda	Eukaryota	199
JK136L-7_S7	Arthropoda	Eukaryota	101
JK137L-1_S9	Arthropoda	Eukaryota	55
JK137L-2_S10	Arthropoda	Eukaryota	51
JK137L-3_S11	Arthropoda	Eukaryota	73
JK137L-4_S12	Arthropoda	Eukaryota	109
JK137L-5_S13	Arthropoda	Eukaryota	109
JK137L-6_S14	Arthropoda	Eukaryota	96
JK137L-7_S15	Arthropoda	Eukaryota	72
JK138L-1_S17	Arthropoda	Eukaryota	68
JK138L-2_S18	Arthropoda	Eukaryota	88
JK138L-3_S19	Arthropoda	Eukaryota	148
JK138L-4_S20	Arthropoda	Eukaryota	126
JK138L-6_S22	Arthropoda	Eukaryota	112
JK138L-7_S23	Arthropoda	Eukaryota	43
JoW001L-1_S1	Arthropoda	Eukaryota	195
JoW001L-2_S2	Arthropoda	Eukaryota	162
JoW001L-3_S3	Arthropoda	Eukaryota	175
JoW001L-4_S4	Arthropoda	Eukaryota	139
JoW001L-5_S5	Arthropoda	Eukaryota	159
JoW001L-6_S6	Arthropoda	Eukaryota	186
JoW002L-1_S9	Arthropoda	Eukaryota	55
JoW002L-2_S10	Arthropoda	Eukaryota	149
JoW002L-4_S12	Arthropoda	Eukaryota	127
JoW002L-5_S13	Arthropoda	Eukaryota	224
JoW002L-6_S14	Arthropoda	Eukaryota	184
JoW003L-1_S17	Arthropoda	Eukaryota	114
JoW003L-2_S18	Arthropoda	Eukaryota	97
JoW003L-3_S19	Arthropoda	Eukaryota	130
JoW003L-4_S20	Arthropoda	Eukaryota	140
JoW003L-5_S21	Arthropoda	Eukaryota	178
JoW003L-6_S22	Arthropoda	Eukaryota	108
JoW004L-1_S25	Arthropoda	Eukaryota	60
JoW004L-2_S26	Arthropoda	Eukaryota	81
JoW004L-3_S27	Arthropoda	Eukaryota	50
JoW004L-4_S28	Arthropoda	Eukaryota	85
JoW004L-5_S29	Arthropoda	Eukaryota	57
JoW004L-6_S30	Arthropoda	Eukaryota	53
JoW005L-1_S33	Arthropoda	Eukaryota	638
JoW005L-2_S34	Arthropoda	Eukaryota	186
JoW005L-3_S35	Arthropoda	Eukaryota	285
JoW005L-4_S36	Arthropoda	Eukaryota	241
JoW007L-1_S1	Arthropoda	Eukaryota	120
JoW007L-2_S2	Arthropoda	Eukaryota	80
JoW007L-3_S3	Arthropoda	Eukaryota	145
JoW007L-4_S4	Arthropoda	Eukaryota	134
JoW007L-5_S5	Arthropoda	Eukaryota	61
JoW007L-6_S6	Arthropoda	Eukaryota	36
StB097L-01_S1	Arthropoda	Eukaryota	95
StB097L-02_S2	Arthropoda	Eukaryota	79
StB097L-03_S3	Arthropoda	Eukaryota	180
StB097L-04_S4	Arthropoda	Eukaryota	87
StB097L-05_S5	Arthropoda	Eukaryota	168
StB097L-06_S6	Arthropoda	Eukaryota	95
StB097L-07_S7	Arthropoda	Eukaryota	5
StB106L-01_S9	Arthropoda	Eukaryota	143
StB106L-02_S10	Arthropoda	Eukaryota	92
StB106L-04_S12	Arthropoda	Eukaryota	69
StB106L-05_S13	Arthropoda	Eukaryota	76
StB108L-01_S17	Arthropoda	Eukaryota	104
StB108L-02_S18	Arthropoda	Eukaryota	124
StB108L-03_S19	Arthropoda	Eukaryota	135
StB108L-05_S21	Arthropoda	Eukaryota	102
StB108L-06_S22	Arthropoda	Eukaryota	1
StB108L-07_S23	Arthropoda	Eukaryota	36
StB109L-01_S25	Arthropoda	Eukaryota	141
StB109L-02_S26	Arthropoda	Eukaryota	197
StB109L-04_S28	Arthropoda	Eukaryota	168
StB109L-05_S29	Arthropoda	Eukaryota	96
StB109L-06_S30	Arthropoda	Eukaryota	127
WJ192L-1_S29	Arthropoda	Eukaryota	253
WJ192L-3_S30	Arthropoda	Eukaryota	278
WJ192L-4_S31	Arthropoda	Eukaryota	233
WJ192L-5_S32	Arthropoda	Eukaryota	500
WJ192L-6_S33	Arthropoda	Eukaryota	1
WJ192L-7_S34	Arthropoda	Eukaryota	8
WJ192L-8_S35	Arthropoda	Eukaryota	1
WJ194L-2_S22	Arthropoda	Eukaryota	2019
WJ194L-3_S23	Arthropoda	Eukaryota	159
WJ194L-4_S24	Arthropoda	Eukaryota	231
WJ194L-5_S25	Arthropoda	Eukaryota	197
WJ194L-6_S26	Arthropoda	Eukaryota	285
WJ194L-7_S27	Arthropoda	Eukaryota	165
WJ194L-8_S28	Arthropoda	Eukaryota	1
WJ195L-1_S17	Arthropoda	Eukaryota	202
WJ195L-5_S18	Arthropoda	Eukaryota	126
WJ195L-7_S19	Arthropoda	Eukaryota	1
WJ196L-10_S10	Arthropoda	Eukaryota	657
WJ196L-11_S11	Arthropoda	Eukaryota	389
WJ196L-12_S12	Arthropoda	Eukaryota	304
WJ196L-13_S13	Arthropoda	Eukaryota	265
WJ196L-14_S14	Arthropoda	Eukaryota	272
WJ196L-15_S15	Arthropoda	Eukaryota	241
WJ196L-16_S16	Arthropoda	Eukaryota	1
WJ196L-3_S3	Arthropoda	Eukaryota	4
WJ196L-4_S4	Arthropoda	Eukaryota	287
WJ196L-5_S5	Arthropoda	Eukaryota	227
WJ196L-6_S6	Arthropoda	Eukaryota	437
WJ196L-7_S7	Arthropoda	Eukaryota	519
WJ196L-8_S8	Arthropoda	Eukaryota	501
WJ196L-9_S9	Arthropoda	Eukaryota	721
191011_SND405_A_L007_APMG-6-1	Chlorophyta	Eukaryota	141
191011_SND405_A_L007_APMG-6-2	Chlorophyta	Eukaryota	309
191011_SND405_A_L007_APMG-6-3	Chlorophyta	Eukaryota	225
191011_SND405_A_L007_APMG-6-4	Chlorophyta	Eukaryota	544
191011_SND405_A_L007_APMG-6-5	Chlorophyta	Eukaryota	13
191011_SND405_A_L007_APMG-6-6	Chlorophyta	Eukaryota	58
191011_SND405_A_L007_APMG-6-8	Chlorophyta	Eukaryota	1
200313_A00902_A_L001_APMG-8-1	Chlorophyta	Eukaryota	469
200313_A00902_A_L001_APMG-8-10	Chlorophyta	Eukaryota	292
200313_A00902_A_L001_APMG-8-11	Chlorophyta	Eukaryota	200
200313_A00902_A_L001_APMG-8-12	Chlorophyta	Eukaryota	366
200313_A00902_A_L001_APMG-8-2	Chlorophyta	Eukaryota	313
200313_A00902_A_L001_APMG-8-3	Chlorophyta	Eukaryota	473
200313_A00902_A_L001_APMG-8-4	Chlorophyta	Eukaryota	1674
200313_A00902_A_L001_APMG-8-5	Chlorophyta	Eukaryota	1014
200313_A00902_A_L001_APMG-8-6	Chlorophyta	Eukaryota	204
200313_A00902_A_L001_APMG-8-8	Chlorophyta	Eukaryota	47
200313_A00902_A_L001_APMG-8-9	Chlorophyta	Eukaryota	208
200313_A00902_A_L002_APMG-9-1	Chlorophyta	Eukaryota	160
200313_A00902_A_L002_APMG-9-10	Chlorophyta	Eukaryota	47
200313_A00902_A_L002_APMG-9-11	Chlorophyta	Eukaryota	107
200313_A00902_A_L002_APMG-9-2	Chlorophyta	Eukaryota	118
200313_A00902_A_L002_APMG-9-3	Chlorophyta	Eukaryota	128
200313_A00902_A_L002_APMG-9-5	Chlorophyta	Eukaryota	116
200313_A00902_A_L002_APMG-9-6	Chlorophyta	Eukaryota	95
200313_A00902_A_L002_APMG-9-7	Chlorophyta	Eukaryota	79
200313_A00902_A_L002_APMG-9-8	Chlorophyta	Eukaryota	114
200313_A00902_A_L002_APMG-9-9	Chlorophyta	Eukaryota	47
201118_A00902_B_L1-2_APMG_19_1	Chlorophyta	Eukaryota	59
201118_A00902_B_L1-2_APMG_19_10	Chlorophyta	Eukaryota	84
201118_A00902_B_L1-2_APMG_19_11	Chlorophyta	Eukaryota	58
201118_A00902_B_L1-2_APMG_19_12	Chlorophyta	Eukaryota	67
201118_A00902_B_L1-2_APMG_19_13	Chlorophyta	Eukaryota	52
201118_A00902_B_L1-2_APMG_19_14	Chlorophyta	Eukaryota	24
201118_A00902_B_L1-2_APMG_19_15	Chlorophyta	Eukaryota	216
201118_A00902_B_L1-2_APMG_19_16	Chlorophyta	Eukaryota	115
201118_A00902_B_L1-2_APMG_19_17	Chlorophyta	Eukaryota	33
201118_A00902_B_L1-2_APMG_19_2	Chlorophyta	Eukaryota	98
201118_A00902_B_L1-2_APMG_19_20	Chlorophyta	Eukaryota	1
201118_A00902_B_L1-2_APMG_19_3	Chlorophyta	Eukaryota	64
201118_A00902_B_L1-2_APMG_19_5	Chlorophyta	Eukaryota	53
201118_A00902_B_L1-2_APMG_19_6	Chlorophyta	Eukaryota	74
201118_A00902_B_L1-2_APMG_19_7	Chlorophyta	Eukaryota	37
